name,free_bikes,empty_slots,city,country,position
024 - ROGIER,18,15,Bruxelles,Belgium,13
039 - HOTEL DES MONNAIES / MUNTHOTEL,7,18,Bruxelles,Belgium,13
084 - SAINTE-ANNE / SINT-ANNA,6,13,Bruxelles,Belgium,13
301 - MARIE-JOSE,8,14,Bruxelles,Belgium,13
007 - PARC / PARK,5,20,Bruxelles,Belgium,13
097 - KARREVELD,9,11,Bruxelles,Belgium,13
026 - VAN LINT,10,13,Bruxelles,Belgium,13
072 - ULB SOLBOSCH / VUB  SOLBOSCH,15,9,Bruxelles,Belgium,13
134 - BASTOGNE/BASTENAKEN,13,12,Bruxelles,Belgium,13
047 - LES QUAIS / KAAIEN,13,5,Bruxelles,Belgium,13
230 - BERKENDAEL / BERKENDAAL,12,12,Bruxelles,Belgium,13
321 - SACRE-CŒUR DE / HEILIG-HART VAN JETTE,11,8,Bruxelles,Belgium,13
019 - PLACE MORICHAR / MORICHARPLEIN,8,2,Bruxelles,Belgium,13
023 - AGORA,10,7,Bruxelles,Belgium,13
330 - VANDERVELDE,15,10,Bruxelles,Belgium,13
351 - ULB,2,22,Bruxelles,Belgium,13
257 - PL MARGUERITE D'AUTRICHE / MARGARETHA VAN OO,16,9,Bruxelles,Belgium,13
194 - STUYVENBERG,9,16,Bruxelles,Belgium,13
347 - ERASME,12,13,Bruxelles,Belgium,13
101 - ZELLIK,9,16,Bruxelles,Belgium,13
127 - GRAY/GRAY,13,5,Bruxelles,Belgium,13
362 - GARE BERCHEM ST AGATHE/ST AGATA BERCHEM,11,9,Bruxelles,Belgium,13
145 - COTEAUX/WIJNHEUVELEN,20,5,Bruxelles,Belgium,13
058 - GARE DU NORD / NOORDSTATION,13,28,Bruxelles,Belgium,13
071 - LEGRAND,3,19,Bruxelles,Belgium,13
233 - PARC DUDEN / DUDEN PARK,7,13,Bruxelles,Belgium,13
149 - JULES LEBRUN,15,9,Bruxelles,Belgium,13
274 - CORHAY,10,15,Bruxelles,Belgium,13
124 - CHARLES GRAUX,11,14,Bruxelles,Belgium,13
352 - ROUGE-CLOÎTRE / ROOD-KLOOSTER,6,16,Bruxelles,Belgium,13
186 - GENOT,11,6,Bruxelles,Belgium,13
091 - BELGICA,15,8,Bruxelles,Belgium,13
283 - PISCINE / ZWEMBAD,7,7,Bruxelles,Belgium,13
086 - MAISON COMMUNALE DE JETTE GEMEENTEHUIS,14,11,Bruxelles,Belgium,13
143 - RTL,10,15,Bruxelles,Belgium,13
BORNE ATELIER MECANOS EVERE,0,1,Bruxelles,Belgium,13
172 - AEROPOLIS,8,17,Bruxelles,Belgium,13
095 - PLACE BOCKSTAEL / BOCKSTAELPLAATS,8,17,Bruxelles,Belgium,13
323 - CARENE,11,8,Bruxelles,Belgium,13
