name,free_bikes,empty_slots,city,country,position
Métro de l'Église (Ross / de l'Église),11,7,Montréal,Canada,7
Square-Victoria (Viger / du Square-Victoria),10,26,Montréal,Canada,7
Marché Jean-Talon (Casgrain / Shamrock),22,7,Montréal,Canada,7
des Barges / des Bassins,4,15,Montréal,Canada,7
de Maisonneuve / Aylmer (ouest),17,20,Montréal,Canada,7
CHSLD Joseph-François-Perrault (St-Michel / Everett),15,3,Montréal,Canada,7
Parc de Montréal-Est (Notre-Dame / David),5,12,Montréal,Canada,7
Hôpital général juif (de la Côte-Ste-Catherine / Légaré),22,15,Montréal,Canada,7
Parc St-Roch (Ball / Durocher),3,12,Montréal,Canada,7
Métro Frontenac (Ontario / du Havre),19,4,Montréal,Canada,7
Duluth / St-Denis,0,12,Montréal,Canada,7
Parc Howard (de l'Épée / de Liège),12,4,Montréal,Canada,7
de l'Hôtel-de-Ville / Ontario,5,22,Montréal,Canada,7
Collège de Maisonneuve (Sherbrooke / Bourbonnière),9,8,Montréal,Canada,7
Parc du Père-Marquette (de Bellechasse / de Lanaudière),10,9,Montréal,Canada,7
Côte-des-Neiges / Carlton,14,6,Montréal,Canada,7
de la Commune / Place Jacques-Cartier,46,35,Montréal,Canada,7
Marché St-Jacques (Atateken),8,18,Montréal,Canada,7
Bishop / de Maisonneuve,13,21,Montréal,Canada,7
Métro Radisson (Sherbrooke / des Groseilliers),13,6,Montréal,Canada,7
du Parc-La Fontaine / Rachel,3,12,Montréal,Canada,7
Pierre-de-Coubertin / Aird,11,20,Montréal,Canada,7
Drummond / des-Canadiens-de-Montréal,17,10,Montréal,Canada,7
La Fontaine / Panet,3,16,Montréal,Canada,7
La Tour de Montréal (Pierre-de-Coubertin / Bennett),2,22,Montréal,Canada,7
René-Lévesque / Papineau,15,16,Montréal,Canada,7
Parc Maisonneuve - Chalet (Accès Sherbrooke),13,10,Montréal,Canada,7
Bennett / Pierre-de-Coubertin,18,3,Montréal,Canada,7
Wolfe / Robin,0,10,Montréal,Canada,7
REM Gare Centrale (de la Gauchetière / Mansfield),1,26,Montréal,Canada,7
Métro Laurier (Berri / St-Joseph),9,12,Montréal,Canada,7
Métro Verdun (Willibrord / de Verdun),1,17,Montréal,Canada,7
Parc Beaubien (Beaubien / 8e avenue),8,12,Montréal,Canada,7
Drummond / Sherbrooke,13,10,Montréal,Canada,7
Cégep du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),1,14,Montréal,Canada,7
9e avenue / Masson,3,11,Montréal,Canada,7
CHU Ste-Justine (de la Côte Ste-Catherine / Hudson),17,20,Montréal,Canada,7
Rosemont / Viau,12,11,Montréal,Canada,7
Mansfield / Sherbrooke,4,30,Montréal,Canada,7
Émile-Duployé / Sherbrooke,16,10,Montréal,Canada,7
1ere avenue / St-Zotique,11,8,Montréal,Canada,7
Notre-Dame / St-Martin,5,14,Montréal,Canada,7
Benny / Sherbrooke,13,10,Montréal,Canada,7
Parc Labelle (LaSalle / Henri-Duhamel),12,6,Montréal,Canada,7
de la Commune / McGill,19,34,Montréal,Canada,7
Plessis / René-Lévesque,8,11,Montréal,Canada,7
St-Antoine / de la Montagne,7,12,Montréal,Canada,7
Édouard-Montpetit / de Stirling,23,6,Montréal,Canada,7
Metcalfe / de Maisonneuve (sud),17,6,Montréal,Canada,7
La Fontaine / Alexandre-DeSève,9,10,Montréal,Canada,7
20e avenue / de Bellechasse,7,11,Montréal,Canada,7
Centre récréatif Édouard-Rivet (Notre-Dame / Lesage),6,8,Montréal,Canada,7
Métro Sauvé (Berri / Sauvé),7,14,Montréal,Canada,7
Durocher / Bernard,8,12,Montréal,Canada,7
Chabanel / du Parc,15,15,Montréal,Canada,7
Hôpital Santa Cabrini (de Pontoise / d'Évreux),10,3,Montréal,Canada,7
Émile-Duployé / Rachel,8,16,Montréal,Canada,7
O'Brien / Poirier,7,16,Montréal,Canada,7
Montpellier / Stinson,5,18,Montréal,Canada,7
St-Urbain / de la Gauchetière,16,27,Montréal,Canada,7
Parc Honoré-Mercier (Notre-Dame / Liébert),13,11,Montréal,Canada,7
Parc Nicolas-Tillemont (des Érables / Villeray),5,13,Montréal,Canada,7
Boyer / Jean-Talon,4,11,Montréal,Canada,7
Parc Molson (d'Iberville / Beaubien),9,9,Montréal,Canada,7
Roy / Saint-Laurent,17,6,Montréal,Canada,7
de la Côte-Ste-Catherine / Decelles,12,7,Montréal,Canada,7
Crescent / René-Lévesque,6,22,Montréal,Canada,7
Bernard / Jeanne-Mance,14,9,Montréal,Canada,7
des Vraquiers / Ottawa,6,9,Montréal,Canada,7
de la Montagne / Notre-Dame,3,20,Montréal,Canada,7
Marché Maisonneuve (Ontario / Morgan),5,17,Montréal,Canada,7
Parc des Gorilles (Beaubien / St-Urbain),15,5,Montréal,Canada,7
Laurier / St-Denis,15,21,Montréal,Canada,7
Place de la Paix (St-Laurent),5,22,Montréal,Canada,7
Cégep André-Laurendeau (Lapierre),13,14,Montréal,Canada,7
Métro Joliette  (Hochelaga / Joliette),16,13,Montréal,Canada,7
3e avenue / Bannantyne,6,9,Montréal,Canada,7
Métro Beaudry (Beaudry / Ste-Catherine),8,15,Montréal,Canada,7
de l'Inspecteur / Notre-Dame,7,12,Montréal,Canada,7
Hamilton / Jolicoeur,8,7,Montréal,Canada,7
Aylwin / Ontario,14,13,Montréal,Canada,7
Regina / de Verdun,8,11,Montréal,Canada,7
Fortune / Wellington,10,17,Montréal,Canada,7
des Érables / Laurier,11,8,Montréal,Canada,7
de la Côte-des-Neiges / Remembrance,3,10,Montréal,Canada,7
du Séminaire / Olier,8,21,Montréal,Canada,7
REM McGill (de Maisonneuve / Mansfield),12,10,Montréal,Canada,7
Place des Festival (du Président-Kennedy / Bleury),16,11,Montréal,Canada,7
Métro Crémazie (Crémazie / Lajeunesse),4,11,Montréal,Canada,7
Parc Reine-Élizabeth (Penniston / Crawford),8,7,Montréal,Canada,7
Rose-de-Lima / Delisle,8,11,Montréal,Canada,7
Union / René-Lévesque,7,18,Montréal,Canada,7
St-Jacques / des Seigneurs,9,13,Montréal,Canada,7
Métro Henri-Bourassa (Henri-Bourassa / Millen),11,3,Montréal,Canada,7
Atwater / Sherbrooke,14,9,Montréal,Canada,7
de Maisonneuve / Mackay,3,12,Montréal,Canada,7
Thérèse-Lavoix-Roux / Wiseman,9,6,Montréal,Canada,7
Montcalm / Ontario,2,21,Montréal,Canada,7
St-Jacques / Vinet,0,1,Montréal,Canada,7
Tupper / du Fort,5,17,Montréal,Canada,7
de la Commune / des Soeurs-Grises,32,35,Montréal,Canada,7
Clark / de l'Arcade,12,6,Montréal,Canada,7
Métro Langelier (Langelier / Sherbrooke),12,7,Montréal,Canada,7
du Marché Central / Crémazie,6,8,Montréal,Canada,7
Gascon / de Rouen,0,23,Montréal,Canada,7
Ontario / Ville-Marie,5,13,Montréal,Canada,7
Ste-Catherine / St-Laurent,7,24,Montréal,Canada,7
Villeray / de Normanville,9,11,Montréal,Canada,7
Prince-Arthur / St-Urbain,17,5,Montréal,Canada,7
Molson / Beaubien,14,9,Montréal,Canada,7
Campus MIL (Outremont / Thérèse-Lavoie Roux),14,17,Montréal,Canada,7
Marché Atwater,16,16,Montréal,Canada,7
Place Ville-Marie (Robert-Bourassa / René-Lévesque),8,23,Montréal,Canada,7
McTavish / Sherbrooke,11,43,Montréal,Canada,7
Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain),23,12,Montréal,Canada,7
Robert-Bourassa / St-Maurice,8,14,Montréal,Canada,7
de Maisonneuve / Mansfield (nord),15,4,Montréal,Canada,7
de la Cote-Ste-Catherine / Davaar,3,8,Montréal,Canada,7
Wellington / Queen,18,1,Montréal,Canada,7
de Normanville / Beaubien,0,17,Montréal,Canada,7
Molson / William-Tremblay,8,19,Montréal,Canada,7
Elmwood / Mc Dougall,0,15,Montréal,Canada,7
City Councillors / du President-Kennedy,5,26,Montréal,Canada,7
CHSLD Robert Cliche (de Bellechasse / 16e avenue),14,1,Montréal,Canada,7
Lambert-Closse / de Maisonneuve,2,29,Montréal,Canada,7
Métro Papineau (Dorion / De Maisonneuve),15,16,Montréal,Canada,7
