name,free_bikes,empty_slots,city,country,position
Summerhill Ave / Maclennan Ave,1,9,Toronto,Canada,2
Queen St E / Joseph Duggan Rd,11,5,Toronto,Canada,2
Victoria Park Ave / Danforth Ave,8,9,Toronto,Canada,2
Rochefort Dr / Don Mills Rd,0,9,Toronto,Canada,2
Navy Wharf Crt / Bremner Blvd,7,4,Toronto,Canada,2
420 Wellington St W,9,3,Toronto,Canada,2
Sentinel Rd / Finch Ave W,14,1,Toronto,Canada,2
Ross St / Cecil St - SMART,13,3,Toronto,Canada,2
York University Station (North),2,11,Toronto,Canada,2
Dundas St W / Yonge St,26,4,Toronto,Canada,2
Euclid Ave / Herrick St - SMART,1,13,Toronto,Canada,2
Wellesley St W / Queen's Park Cres,2,13,Toronto,Canada,2
Jane St / Sheppard Ave W,5,13,Toronto,Canada,2
144 Harrison St,23,10,Toronto,Canada,2
Wellington St W / Bay St,36,19,Toronto,Canada,2
Sunnyside Ave / The Queensway - SMART,19,1,Toronto,Canada,2
161 Bleecker St (South of Wellesley),1,20,Toronto,Canada,2
Lawrence Ave W / Renfield St,0,11,Toronto,Canada,2
Bay St / Scollard St,0,14,Toronto,Canada,2
Pape Ave / Gamble Ave,12,6,Toronto,Canada,2
Parkway Forest Dr / Forest Manor Rd (South),3,13,Toronto,Canada,2
Queen St E / Hammersmith Ave,6,5,Toronto,Canada,2
Walnut Ave / Queen St W,9,4,Toronto,Canada,2
Queen St E / Pape Ave - SMART,2,11,Toronto,Canada,2
Tecumseth St / Tecumseth Pl,1,10,Toronto,Canada,2
Davenport Rd / Lansdowne Ave,2,15,Toronto,Canada,2
Eastwood Rd / Coxwell Ave,10,8,Toronto,Canada,2
Fenwood Ht / Kingston Rd,8,4,Toronto,Canada,2
Rouge Hill GO Station,10,10,Toronto,Canada,2
Lundy Ave / Étienne Brûlé Park,0,11,Toronto,Canada,2
Bremner Blvd / Rees St,32,15,Toronto,Canada,2
Willowdale Ave / Bishop Ave ,5,13,Toronto,Canada,2
Plaxton Dr / St. Clair Ave E,1,12,Toronto,Canada,2
Front St W / University Ave (2),15,0,Toronto,Canada,2
Jarvis St / Richmond St E,10,7,Toronto,Canada,2
Mortimer Ave / Coxwell Ave,11,11,Toronto,Canada,2
Dundas St E / River St,1,18,Toronto,Canada,2
St. Clair Ave W / Symes Rd,1,13,Toronto,Canada,2
Yarmouth Rd / Christie St,2,8,Toronto,Canada,2
Dufferin Gate - SMART,13,2,Toronto,Canada,2
Symington Ave / Davenport Rd,2,12,Toronto,Canada,2
Niagara St / King St W - SMART,6,14,Toronto,Canada,2
Madison Ave / Bloor St W,0,14,Toronto,Canada,2
