name,free_bikes,empty_slots,city,country,position
LONGEFER / KRUGER,13,3,Lyon,France,13
AMPÈRE / BOURSE,3,23,Lyon,France,13
CONSERVATOIRE,14,4,Lyon,France,13
SUBSISTANCES,3,15,Lyon,France,13
LAFAYETTE / CORNEILLE,4,7,Lyon,France,13
PARC DE GERLAND,18,7,Lyon,France,13
PLACE AMPÈRE,3,7,Lyon,France,13
SAINTE-IRÉNÉE,0,18,Lyon,France,13
PERRACHE / CARNOT,1,15,Lyon,France,13
BELLECOUR / ST EXUPÉRY,1,38,Lyon,France,13
CHÂTEAU GAILLARD / FORT,4,10,Lyon,France,13
ZOLA / PASSAGE REY,15,4,Lyon,France,13
INSTITUT LUMIERE,3,15,Lyon,France,13
PÊCHERIE,1,14,Lyon,France,13
SALA / RUE DU PLAT,1,11,Lyon,France,13
JACOBINS,3,22,Lyon,France,13
LUMIERE / TROUILHET,9,7,Lyon,France,13
SALENGRO / DESCARTES,8,7,Lyon,France,13
JEAN JAURÈS,11,4,Lyon,France,13
PLACE HENRI,9,3,Lyon,France,13
PLACE DE LA PAIX,16,0,Lyon,France,13
GRATTE-CIEL,4,10,Lyon,France,13
CHARCOT / RÉSIDENCE UNIVERSITAIRE,1,31,Lyon,France,13
MONTGOLFIER / CHATEAU GAILLARD,17,0,Lyon,France,13
BOURBONNAIS,0,11,Lyon,France,13
VEYRON / TCHEKOSLOVAQUES,2,12,Lyon,France,13
MAIRIE DU 7E,3,27,Lyon,France,13
VAULX - VILLAGE,15,5,Lyon,France,13
4 AOÛT 1789,4,10,Lyon,France,13
GREUZE,9,9,Lyon,France,13
MAIRIE DU 8E,15,6,Lyon,France,13
PLACE CRÉPU,14,4,Lyon,France,13
ST GERMAIN AU MONT D'OR,10,5,Lyon,France,13
TRARIEUX / LACASSAGNE,12,12,Lyon,France,13
BALDASSINI / GERLAND,5,14,Lyon,France,13
11 NOVEMBRE,8,25,Lyon,France,13
SAINT-JEAN,29,5,Lyon,France,13
CENTRE BERTHELOT,9,6,Lyon,France,13
FONTAINES S/S - QUAI SIMON,17,3,Lyon,France,13
COLLONGES - MEDIATHEQUE,13,2,Lyon,France,13
LYCÉE MARIE CURIE,7,7,Lyon,France,13
BARATIN,2,9,Lyon,France,13
PLACE ARISTIDE BRIAND,0,37,Lyon,France,13
MARIETTON OUEST,13,6,Lyon,France,13
BERTHELOT / ROUTE DE VIENNE,0,14,Lyon,France,13
JOFFRE / VAUBECOUR,4,16,Lyon,France,13
CÉLESTINS,1,20,Lyon,France,13
VENISSIEUX - FARGE / CLOCHETTES,9,3,Lyon,France,13
SAINT-CYR,8,19,Lyon,France,13
CONSERVATOIRE BIS,9,13,Lyon,France,13
GUILLOTIERE / NICOLAÏ,3,26,Lyon,France,13
CALUIRE - BRANLY / PASTEUR,2,12,Lyon,France,13
JAURES / BOLLIER,13,20,Lyon,France,13
PLACE AMBROISE COURTOIS,8,12,Lyon,France,13
MASSET / SAINT-PIERRE DE VAISE,4,11,Lyon,France,13
GARE DE VAISE,13,9,Lyon,France,13
BEAUVOIR / MAROT,14,5,Lyon,France,13
NEUVILLE - STADE,12,3,Lyon,France,13
PLACE PUVIS DE CHAVANNES,2,8,Lyon,France,13
GARDE / AQUEDUCS,0,0,Lyon,France,13
PART-DIEU / VILLETTE,11,18,Lyon,France,13
PLACE DE LA CROIX-ROUSSE,1,17,Lyon,France,13
VILLETTE,22,13,Lyon,France,13
CALUIRE - SAINT-CLAIR,2,18,Lyon,France,13
LIBERTÉ / PART-DIEU,4,4,Lyon,France,13
VENISSIEUX - BRUANT / CAGNE,7,2,Lyon,France,13
PISCINE DE VAISE,9,10,Lyon,France,13
ST GENIS L. - MÉDIATHÈQUE,4,8,Lyon,France,13
VAISE DOCKS,12,6,Lyon,France,13
BEAUVISAGE / PRESSENSÉ,11,4,Lyon,France,13
MARTINIÈRE,2,6,Lyon,France,13
HÔPITAL SAINT-JEAN DE DIEU,19,1,Lyon,France,13
VOYANT / CHAMBFORT,16,6,Lyon,France,13
SAINT-FONS - PLACE DES CUBES,9,5,Lyon,France,13
DUMONT / JOUVET,4,12,Lyon,France,13
SAINT-JUST,6,12,Lyon,France,13
SAINT-PAUL,3,20,Lyon,France,13
CONDORCET,12,10,Lyon,France,13
CORNEILLE / SERVIENT,4,9,Lyon,France,13
PLACE DE LA PAIX,2,15,Lyon,France,13
MARSEILLE / UNIVERSITÉ,13,23,Lyon,France,13
RÉPUBLIQUE / PAUFIQUE,3,25,Lyon,France,13
GORGE DE LOUP,10,27,Lyon,France,13
PLACE EDGAR QUINET,2,19,Lyon,France,13
PLACE SAINTE ANNE,11,7,Lyon,France,13
CROIX LUIZET,8,14,Lyon,France,13
BOUVIER,12,4,Lyon,France,13
TASSIN - TUILERIES,7,5,Lyon,France,13
VAULX - HÔTEL DE VILLE,24,5,Lyon,France,13
PLACE RHODIACETA,3,8,Lyon,France,13
MÉNIVAL / EISENHOWER,5,7,Lyon,France,13
JAURÈS / GERLAND,9,10,Lyon,France,13
VOILLOT / GARNIER,10,5,Lyon,France,13
BRON - CENTRE NAUTIQUE,13,0,Lyon,France,13
PHILIPPE DE LASSALLE,0,23,Lyon,France,13
SAXE / MONCEY,5,23,Lyon,France,13
AMBROISE PARÉ,0,0,Lyon,France,13
LES HALLES,1,17,Lyon,France,13
PLACE DE LA RECONNAISSANCE,18,14,Lyon,France,13
GRANDCLÉMENT,1,17,Lyon,France,13
MARTINIÈRE / MONPLAISIR,5,14,Lyon,France,13
ROUVILLE,1,16,Lyon,France,13
CONDORCET / GALLINE,13,2,Lyon,France,13
RUE DE LA BALEINE,9,4,Lyon,France,13
CRÉQUI / VOLTAIRE,0,30,Lyon,France,13
VILLETTE / SAINT-ANTOINE,1,20,Lyon,France,13
CITÉ INTERNATIONALE / RÉSIDENCE HÔTELIÈRE,9,16,Lyon,France,13
DECINES - CENTRE,19,0,Lyon,France,13
ROSSELINI / 11 NOVEMBRE,5,24,Lyon,France,13
CHASSIEU - GENAS / PROGRES,12,0,Lyon,France,13
TERREAUX / BEAUX ARTS,0,10,Lyon,France,13
GAMBETTA / JUSSERAND,2,9,Lyon,France,13
MONTEE DE L'OBSERVANCE,3,7,Lyon,France,13
ZOLA / FRANCE,13,3,Lyon,France,13
BOURSE DU TRAVAIL,4,20,Lyon,France,13
PLACE REGAUD,1,11,Lyon,France,13
BUYER / APOLLINAIRE,0,20,Lyon,France,13
HERRIOT / MAUPIN,3,20,Lyon,France,13
VIVIER MERLE / PAUL BERT OUEST,8,9,Lyon,France,13
BERTHELOT / VILLON,13,0,Lyon,France,13
PLACE DANTON,2,15,Lyon,France,13
TERREAUX / CHENAVARD,0,16,Lyon,France,13
PLACE ROUGET DE L'ISLE,6,8,Lyon,France,13
ALSACE ANATOLE FRANCE,17,2,Lyon,France,13
ANDREI SAKHAROV,2,8,Lyon,France,13
ANATOLE FRANCE / ZOLA,2,9,Lyon,France,13
DOCTEUR DAMIDOT,5,10,Lyon,France,13
HALLE TONY GARNIER,9,9,Lyon,France,13
CHAZETTE LASSAGNE,0,17,Lyon,France,13
PHILOMENE MAGNIN,0,0,Lyon,France,13
BOUSSANGES / AUSTERLITZ,6,11,Lyon,France,13
RÉPUBLIQUE,10,4,Lyon,France,13
CALUIRE - LA ROCHETTE,15,3,Lyon,France,13
DOMER / CHEVREUL,4,8,Lyon,France,13
SALENGRO / FEYSSINE,8,8,Lyon,France,13
OPÉRA,1,40,Lyon,France,13
SERVIENT / GARIBALDI,11,20,Lyon,France,13
CONFLUENCE / DOCKS,12,14,Lyon,France,13
BELLECOUR / RÉPUBLIQUE,13,4,Lyon,France,13
PIERRE DELORE,7,12,Lyon,France,13
RILLIEUX - LOUP PENDU,12,8,Lyon,France,13
ST PRIEST - CITE BERLIET,10,10,Lyon,France,13
CITÉ SCOLAIRE INTERNATIONALE,9,16,Lyon,France,13
COLLONGES - GARE,16,8,Lyon,France,13
NEUVILLE - QUAI PASTEUR,17,3,Lyon,France,13
VENISSIEUX - PLACE ROMAND,14,6,Lyon,France,13
JAURES SAINT EXUPERY,11,13,Lyon,France,13
MASARYK / SAINT-CYR,7,5,Lyon,France,13
SISLEY / DAUPHINE,6,10,Lyon,France,13
INSTITUT D'ART CONTEMPORAIN,6,19,Lyon,France,13
PLACE DE L'HIPPODROME,2,21,Lyon,France,13
SERGENT BERTHET / GORGE DE LOUP,5,11,Lyon,France,13
4 AOUT / RACINE,11,17,Lyon,France,13
LAFAYETTE / INKERMANN,19,11,Lyon,France,13
GARIBALDI / DOMER,1,18,Lyon,France,13
SAINT-LUC / SAINT-JOSEPH,0,32,Lyon,France,13
KIMMERLING / FAURE,10,8,Lyon,France,13
VENISSIEUX PARILLY,16,8,Lyon,France,13
VAULX - BIBLIOTHEQUE,14,0,Lyon,France,13
CROIX ROUSSE / PERFETTI,5,14,Lyon,France,13
MUSEE AFRICAIN,2,18,Lyon,France,13
TONKIN,9,1,Lyon,France,13
QUAI SARRAIL,2,9,Lyon,France,13
CHATEAU GAILLARD / BIENVENUS,10,5,Lyon,France,13
CITÉ INTERNATIONALE,1,19,Lyon,France,13
PAUL BERT / GARIBALDI,0,21,Lyon,France,13
GREGORY COUPET,0,16,Lyon,France,13
PORTE DES ENFANTS DU RHÔNE,34,2,Lyon,France,13
BANCEL / CHEVREUL,2,19,Lyon,France,13
4 AOÛT 1789 / PRESSENSÉ,15,4,Lyon,France,13
DAUPHINÉ / SAINT-MAXIMIN,13,15,Lyon,France,13
GARE DES BROTTEAUX,2,12,Lyon,France,13
CROUS,2,11,Lyon,France,13
LAENNEC / PINEL,12,2,Lyon,France,13
BERTHELOT / GARIBALDI,4,11,Lyon,France,13
VENISSIEUX - MARTYRS DE LA RESISTANCE,15,0,Lyon,France,13
PISCINE DU RHÔNE,6,23,Lyon,France,13
PART-DIEU / GARIBALDI,7,11,Lyon,France,13
CHARMETTES / BELLECOMBE,9,12,Lyon,France,13
ST FONS - 4 CHEMINS,2,9,Lyon,France,13
FAURE / MEYNIS,8,22,Lyon,France,13
GARIBALDI / PENSIONNAT,0,29,Lyon,France,13
QUAI ROMAIN ROLLAND,1,15,Lyon,France,13
DOUA / RUE DES SPORTS,11,19,Lyon,France,13
PATINOIRE CHARLEMAGNE,4,33,Lyon,France,13
TECHSUD,0,12,Lyon,France,13
MÉNIVAL / JOLIOT CURIE,3,17,Lyon,France,13
LUGDUNUM - RADISSON,3,11,Lyon,France,13
LA PERRALIÈRE,22,0,Lyon,France,13
JEAN XXIII / MERMOZ,15,4,Lyon,France,13
CHAZIÈRE,0,20,Lyon,France,13
SALA / CHARITÉ,1,19,Lyon,France,13
L'HOMME DE LA ROCHE,12,8,Lyon,France,13
ST FONS - THEATRE,7,11,Lyon,France,13
BIRMINGHAM,7,13,Lyon,France,13
MAIRIE DU 4E,0,20,Lyon,France,13
BOULEVARD DES BELGES,5,8,Lyon,France,13
VENISSIEUX - GARE,22,3,Lyon,France,13
PART-DIEU / DERUELLE,13,23,Lyon,France,13
CAZENEUVE,15,4,Lyon,France,13
MUSÉE GUIMET,12,2,Lyon,France,13
SANTY / BEAUVISAGE,5,12,Lyon,France,13
COLIN / PERRONCEL,10,5,Lyon,France,13
BRON - PLACE CURIAL,25,0,Lyon,France,13
RÉCAMIER / TÊTE D'OR,0,14,Lyon,France,13
SAINT EXUPÉRY,10,4,Lyon,France,13
PART-DIEU / CUIRASSIERS,10,28,Lyon,France,13
QUAI LASSAGNE,1,14,Lyon,France,13
EINSTEIN / 11 NOVEMBRE 1918,16,18,Lyon,France,13
PERRACHE / DE PURY,0,18,Lyon,France,13
MERIEUX / PAVILLONS,14,2,Lyon,France,13
JAURÈS / THIBAUDIÈRE,5,21,Lyon,France,13
SAINT GENIS - HOPITAUX SUD,7,8,Lyon,France,13
MAIRIE DE VILLEURBANNE,8,18,Lyon,France,13
MERMOZ / MICHELET,3,7,Lyon,France,13
PRIMAT / DECORPS,3,9,Lyon,France,13
CUSSET,7,13,Lyon,France,13
ECOLE DE MUSIQUE,22,2,Lyon,France,13
GARE DE VILLEURBANNE,10,12,Lyon,France,13
PLACE VARILLON (FUNICULAIRE ST JUST),2,21,Lyon,France,13
FULCHIRON,0,17,Lyon,France,13
KIMMERLING,1,15,Lyon,France,13
PAUL SANTY,3,11,Lyon,France,13
CITÉ INTERNATIONALE / INTERPOL,6,20,Lyon,France,13
FAURE / DANTON,2,20,Lyon,France,13
BRON - MAIRIE,23,0,Lyon,France,13
QUAI PAUL SÉDALLIAN,10,10,Lyon,France,13
ANATOLE FRANCE,9,1,Lyon,France,13
PERRACHE / PETIT,8,10,Lyon,France,13
CHAMPVERT,9,10,Lyon,France,13
PLACE DES ARCHIVES,5,34,Lyon,France,13
STALINGRAD,4,17,Lyon,France,13
BATAILLE / KRÜGER,11,6,Lyon,France,13
COUZON - CENTRE,9,7,Lyon,France,13
ETATS-UNIS / LÉVIGNE,11,11,Lyon,France,13
THÉÂTRE NOUVELLE GÉNÉRATION,2,12,Lyon,France,13
VÉNISSIEUX - LÉVY / VIENNE,2,16,Lyon,France,13
JACQUARD / DENFERT-ROCHEREAU,1,13,Lyon,France,13
ROSA PARKS,1,14,Lyon,France,13
PIATON / CONDORCET,4,6,Lyon,France,13
MÉMOIRE ET SOCIÉTÉ,13,11,Lyon,France,13
PLACE FLAMMARION,0,18,Lyon,France,13
PLACE TOLOZAN,4,26,Lyon,France,13
ST DIDIER,9,8,Lyon,France,13
FRANCIS DE PRESSENSÉ,13,7,Lyon,France,13
FARGE / AYASSE,7,13,Lyon,France,13
ALLEE DE L'EUROPE,3,7,Lyon,France,13
CHALLEMEL LACOUR / GERLAND,10,2,Lyon,France,13
SERVANT / JABOULAY,2,13,Lyon,France,13
LYCEE LOUISE LABE,12,8,Lyon,France,13
BRON - UNIVERSITE,29,1,Lyon,France,13
JEAN XXIII,8,8,Lyon,France,13
LES HALLES,5,8,Lyon,France,13
DELORE / AUDIBERT ET LAVIROTTE,2,15,Lyon,France,13
PLACE COMMANDANT  ARNAUD,1,16,Lyon,France,13
LAËNNEC,14,2,Lyon,France,13
DOUA / GASTON BERGER,19,11,Lyon,France,13
SANS SOUCI,9,11,Lyon,France,13
PIZAY,4,18,Lyon,France,13
PRÉFECTURE / SARRAIL,1,17,Lyon,France,13
QUAI AUGAGNEUR,0,18,Lyon,France,13
PONT MASARYK,6,15,Lyon,France,13
CALUIRE - GARE DE CUIRE,4,16,Lyon,France,13
CARRET / SÉDALLIAN,17,1,Lyon,France,13
HÉNON,1,20,Lyon,France,13
IUT / FEYSSINE,21,8,Lyon,France,13
BIOPARC,5,18,Lyon,France,13
ALBIGNY - GARE,13,5,Lyon,France,13
VAULX - POUDRETTE / LA SOIE,5,9,Lyon,France,13
PLACE SATHONAY,1,20,Lyon,France,13
MARIETTON / SOUVENIR,0,0,Lyon,France,13
PLACE GABRIEL PÉRI,5,19,Lyon,France,13
PLACE ENNEMOND FOUSSERET,11,5,Lyon,France,13
ROCKEFELLER / ESQUIROL,4,16,Lyon,France,13
WOOSTOWER 2025,0,0,Lyon,France,13
POINT DU JOUR / GRANGES,12,1,Lyon,France,13
UNIVERSITÉS LYON III / LYON II,8,27,Lyon,France,13
GARIBALDI,7,3,Lyon,France,13
VIVIER MERLE / PAUL BERT EST,12,8,Lyon,France,13
SAINT PIERRE DE VAISE,2,13,Lyon,France,13
PLACE DU PORT MOUTON,8,10,Lyon,France,13
PRIMAT / DUCROIZE,10,5,Lyon,France,13
UNIVERSITÉ LYON III,4,30,Lyon,France,13
POUDRETTE / MUSSET,1,17,Lyon,France,13
PLACE MARÉCHAL LYAUTEY,11,8,Lyon,France,13
STE FOY - PLACE ST LUC,13,1,Lyon,France,13
CHARLES HERNU,3,15,Lyon,France,13
VALDO / RIVET,0,18,Lyon,France,13
SAINT-FONS - GARE,4,11,Lyon,France,13
SAINT FONS - ROCHETTES / CREST,0,0,Lyon,France,13
ST ANTOINE / GRENETTE,2,21,Lyon,France,13
HOPITAL NEUROLOGIQUE,5,14,Lyon,France,13
PLACE LOUISE,3,13,Lyon,France,13
ROCARD OCTAVIE,15,9,Lyon,France,13
CHILDEBERT / RIVIÈRE,0,23,Lyon,France,13
VAILLANT / PERRONCEL,8,7,Lyon,France,13
OULLINS - PONT BLANC,23,1,Lyon,France,13
PARC DES BERGES,6,18,Lyon,France,13
PLACE DE L'ECOLE,21,6,Lyon,France,13
VENISSIEUX - COBLOD,13,2,Lyon,France,13
PLACE LEBRET,3,8,Lyon,France,13
VIABERT / THIERS,2,14,Lyon,France,13
MUSÉE DES CONFLUENCES,18,0,Lyon,France,13
PLACE D'ARSONVAL,32,0,Lyon,France,13
CHARPENNES,15,30,Lyon,France,13
MANGINI,20,4,Lyon,France,13
MASSÉNA,9,16,Lyon,France,13
BOIRON GRANGER,0,14,Lyon,France,13
PLATINE PLAISIR BEE,6,0,Lyon,France,13
SALENGRO / VAILLANT,12,12,Lyon,France,13
CLOS SAVARON,0,19,Lyon,France,13
GAMBETTA / GARIBALDI,0,37,Lyon,France,13
CRÉQUI / LAFAYETTE,5,8,Lyon,France,13
PLACE ANTONIN PONCET,9,25,Lyon,France,13
PLACE DE TRION,0,16,Lyon,France,13
PLACE MARENGO,3,23,Lyon,France,13
ST FONS - ARSENAL,0,27,Lyon,France,13
ST CYR,11,1,Lyon,France,13
RILLIEUX - CANELLAS,9,2,Lyon,France,13
PLACE SAINT LOUIS,3,12,Lyon,France,13
TOLSTOÏ / FLORIAN,6,16,Lyon,France,13
FELIX FAURE / VIVIER MERLE,6,28,Lyon,France,13
SAXE / DUNOIR,1,36,Lyon,France,13
PART-DIEU/POMPIDOU,28,12,Lyon,France,13
PLACE JULES FERRY,2,18,Lyon,France,13
PIERRE BÉNITE - EUROPE,12,3,Lyon,France,13
GAILLETON,1,15,Lyon,France,13
OULLINS - GARE,31,9,Lyon,France,13
GERLAND,23,17,Lyon,France,13
RÉPUBLIQUE / FERRANDIÈRE,1,23,Lyon,France,13
FOCH,8,11,Lyon,France,13
MUSÉE D'ART CONTEMPORAIN,15,8,Lyon,France,13
BEL AIR / LES BROSSES,9,11,Lyon,France,13
SAINTE-BLANDINE,1,15,Lyon,France,13
PLACE GERSON,7,13,Lyon,France,13
ST PRIEST - PARC TECHNOLOGIQUE,14,5,Lyon,France,13
CLAUDE BERNARD LYON I,0,14,Lyon,France,13
VENISSIEUX - HOUEL / GAMBETTA,14,1,Lyon,France,13
11 NOVEMBRE / GASTON BERGER,8,26,Lyon,France,13
