name,free_bikes,empty_slots,city,country,position
Argenson - Château,15,10,Paris,France,13
Saint Lambert - Blomet,5,19,Paris,France,13
Saint-Maur - République,1,37,Paris,France,13
Mairie de Rosny-sous-Bois,10,20,Paris,France,13
Mouton Duvernet - Général Leclerc,2,26,Paris,France,13
Pernety - Raymond Losserand,1,31,Paris,France,13
Champs de Manoeuvre - Cartoucherie,31,3,Paris,France,13
Belleville - Télégraphe,1,40,Paris,France,13
Abbeville - Faubourg Poissonnière,2,12,Paris,France,13
Porte de Pantin.,0,32,Paris,France,13
Passy - Place du Costa Rica,10,21,Paris,France,13
Miromesnil - La Boétie,28,5,Paris,France,13
Place Etienne Pernet,10,33,Paris,France,13
Bons Raisins - Voltaire,1,21,Paris,France,13
Saint-Augustin,35,8,Paris,France,13
Lecourbe - Jean Maridor,3,15,Paris,France,13
Colonel Monteil - Brune,2,16,Paris,France,13
République - Auguste Perret,2,27,Paris,France,13
Marcel Pourtout - Édouard Manet ,18,6,Paris,France,13
Port Royal - Hôpital Cochin,6,16,Paris,France,13
Adolphe Pinard - Victor Hugo,2,49,Paris,France,13
Claude Decaen - Cannebière,1,26,Paris,France,13
Pierre et Marie Curie - Maurice Thorez,4,21,Paris,France,13
Mornay - Sully,15,0,Paris,France,13
Suzanne Masson,23,13,Paris,France,13
Legendre - Clichy,5,35,Paris,France,13
Place Charles de Gaulle,2,20,Paris,France,13
Roquette - Auguste Laurent,7,8,Paris,France,13
Bridaine - Lamandé,2,25,Paris,France,13
Ney - Porte de Montmartre,0,22,Paris,France,13
Place du Canada,53,4,Paris,France,13
Francoeur - Marcadet,1,18,Paris,France,13
Georges V - François 1er,18,4,Paris,France,13
Gare de Pont-Cardinet,3,31,Paris,France,13
Square Pierre Lazareff,12,3,Paris,France,13
Marceau - Chaillot,11,10,Paris,France,13
Vaugirard - Monsieur le Prince,23,1,Paris,France,13
Edouard Vaillant - Galliéni,6,42,Paris,France,13
Gare Rosny-Bois-Perrier,6,28,Paris,France,13
Condorcet - Turgot,9,10,Paris,France,13
Cordelières - Arago,14,30,Paris,France,13
Le Brix et Mesmin - Jourdan,0,20,Paris,France,13
Mairie du 2ème,22,6,Paris,France,13
Philippe-Auguste,5,43,Paris,France,13
Charles Delescluze,12,34,Paris,France,13
Place de la Montagne du Goulet,20,1,Paris,France,13
Place de la Madeleine - Royale,28,13,Paris,France,13
Geoffroy-Saint-Hilaire - Saint-Marcel,12,4,Paris,France,13
Le Corbusier - Jean Jaurès,43,1,Paris,France,13
Lorraine - Jean Jaurès,6,12,Paris,France,13
Mairie,0,20,Paris,France,13
Raspail - Bac,46,1,Paris,France,13
Raymond Poincaré - Allée de la Marche,10,13,Paris,France,13
Place Tristan Bernard,11,16,Paris,France,13
Cité Vaneau,25,0,Paris,France,13
Edgar Quinet - Gaité,2,25,Paris,France,13
Romainville - Vaillant-Couturier,0,36,Paris,France,13
Surcouf - Université,13,40,Paris,France,13
Vaugirard - Pasteur,0,21,Paris,France,13
Jean Calvin - Tournefort,22,6,Paris,France,13
Mozart - Jasmin,14,48,Paris,France,13
Hippodrome de Longchamp,12,17,Paris,France,13
Théophile Gautier - François Millet,20,10,Paris,France,13
Porte de Clignancourt - Ney,5,34,Paris,France,13
Plantes - Moulin Vert,2,43,Paris,France,13
Porte de Clichy - Place des Nations Unies,9,28,Paris,France,13
Champ de Mars - Cler,22,17,Paris,France,13
Vaneau - Sèvres,14,20,Paris,France,13
Marcelle - Thalie,1,19,Paris,France,13
Danielle Casanova - Place Vendôme,32,5,Paris,France,13
Westermeyer - Paul Vaillant-Couturier,31,6,Paris,France,13
Boyer - Ménilmontant,1,18,Paris,France,13
Argenteuil - Voltaire,1,15,Paris,France,13
Place de la Bastille - Bourdon,18,17,Paris,France,13
Dunkerque - Trudaine,1,15,Paris,France,13
Hôtel de Ville de Chaville,1,19,Paris,France,13
Commerce - Letellier,15,28,Paris,France,13
Jean Bouin - Gouverneur Général Eboué,24,7,Paris,France,13
Temple - Charlot,9,36,Paris,France,13
Emile Zola - Fondary,24,17,Paris,France,13
Paris - Désiré Préaux,8,37,Paris,France,13
Maison de Radio - France,39,7,Paris,France,13
Taitbout - La Fayette,45,7,Paris,France,13
Montparnasse -  Square Ozanam,3,45,Paris,France,13
Simon Bolivar - Henri Turot,1,21,Paris,France,13
Jean Macé - Faidherbe,10,52,Paris,France,13
Santé - Arago,5,31,Paris,France,13
Cours de l'Ile Seguin - Parc Billancourt,21,6,Paris,France,13
Crozatier - Faubourg Saint-Antoine,17,24,Paris,France,13
Hôtel de Ville de Sèvres,21,10,Paris,France,13
Place Amédée Gordini - Lefebvre,2,35,Paris,France,13
Gare de l'Est - Place du 11 Novembre 1918,4,36,Paris,France,13
Square Victor Basch,5,14,Paris,France,13
Place des Abbesses,0,12,Paris,France,13
Redoute - Les Courtilles,19,20,Paris,France,13
André Karman - République,7,24,Paris,France,13
Place Lafayette,56,4,Paris,France,13
Pyrénées - Emmery,2,38,Paris,France,13
Gare Saint-Lazare - Place de Budapest,11,33,Paris,France,13
Croix Nivert - Square Saint-Lambert,1,46,Paris,France,13
René Boulanger - Lancry,0,0,Paris,France,13
Billancourt - Général Leclerc ,13,8,Paris,France,13
Jourdan - Stade Charléty,1,57,Paris,France,13
Place de la Porte de Passy,6,29,Paris,France,13
Lourmel - Marie Skobtsov,10,12,Paris,France,13
Artois - Berri,17,6,Paris,France,13
Place du Maréchal de Lattre de Tassigny,11,14,Paris,France,13
M.- A. Lagroua Weill-Hallé -  F. Dolto,53,7,Paris,France,13
Gare - Aristide Briand,19,10,Paris,France,13
Place Saint-Just,6,12,Paris,France,13
Saint-Germain - Ciseaux,16,1,Paris,France,13
Gare de Chaville Rive Gauche,1,17,Paris,France,13
Château de Vincennes,8,44,Paris,France,13
Roger Salengro - Général de Gaulle,20,7,Paris,France,13
Gare d'Austerlitz - Quai Saint-Bernard,1,24,Paris,France,13
Marceau Delorme - Pierre Brossolette,9,18,Paris,France,13
Saint-Mandé - Docteur Arnold Netter,6,46,Paris,France,13
Harpe - Saint-Germain,16,29,Paris,France,13
Daumesnil - Hébrard,9,31,Paris,France,13
Victor Hugo - Galliéni,25,5,Paris,France,13
Montreuil - République,2,23,Paris,France,13
Bois de Vincennes - Polygone,3,47,Paris,France,13
République - Louis Loucheur,25,11,Paris,France,13
Mairie du 8ème ,9,5,Paris,France,13
Suffren - La Motte-Piquet,5,17,Paris,France,13
Place Charles Michels,15,21,Paris,France,13
Gare du Nord - La Chapelle,4,12,Paris,France,13
Molitor - Michel-Ange,0,0,Paris,France,13
George V - Christophe Colomb,24,0,Paris,France,13
Alexander Fleming - Belvédère,2,29,Paris,France,13
Boétie - Ponthieu,43,1,Paris,France,13
Aboukir - Alexandrie,8,13,Paris,France,13
Abbé Carton - Plantes,2,22,Paris,France,13
Hôpital Robert Debré,3,29,Paris,France,13
Gabriel Lamé,33,1,Paris,France,13
Division Leclerc - Kléber,0,25,Paris,France,13
Place André Malraux,22,15,Paris,France,13
Parc Roger Salengro,17,18,Paris,France,13
Pyrénées - Dagorno,0,20,Paris,France,13
Porte de la Muette,28,7,Paris,France,13
Borrégo - Gambetta,2,23,Paris,France,13
Pierre Brossolette - Adolphe Pinard,0,23,Paris,France,13
Phalsbourg - Villiers,16,1,Paris,France,13
Gare du Stade,6,14,Paris,France,13
Pierret - Madrid,21,4,Paris,France,13
Place Adolphe Cherioux - Vaugirard,6,57,Paris,France,13
Hôtel de Ville de Rueil-Malmaison,14,6,Paris,France,13
Beffroy,14,10,Paris,France,13
Gare de l'Est - Fidélité,6,8,Paris,France,13
Gare de Bercy,6,29,Paris,France,13
Station Paris Basketball - Ney - Charles Hermite,8,11,Paris,France,13
Petites Ecuries - Faubourg Poissonnière,7,7,Paris,France,13
Saint-Vincent - Verdun,20,13,Paris,France,13
Gay Lussac - Saint-Jacques,21,3,Paris,France,13
Édouard Vaillant - Place Jean Jaurès,5,19,Paris,France,13
LCL Campus - Place Oscar Niemeyer,1,36,Paris,France,13
Brillat-Savarin - Küss,3,17,Paris,France,13
Place du Docteur Yersin,2,48,Paris,France,13
Place Pigalle,4,15,Paris,France,13
Mairie du Kremlin-Bicêtre,5,19,Paris,France,13
Victor Hugo - La Pompe,9,30,Paris,France,13
Port - Maurice Chevalier,21,9,Paris,France,13
Gare de Laplace,3,40,Paris,France,13
Tremblay - Lac des Minimes,53,6,Paris,France,13
Sahel - Général Michel Bizot,5,27,Paris,France,13
Pyrénées - Avron,0,32,Paris,France,13
Aubervilliers - Curial,3,19,Paris,France,13
Londres - Place d'Estienne d'Orves,17,8,Paris,France,13
Stalingrad - Henri Luisette,0,26,Paris,France,13
Pasteur - Gambetta,16,3,Paris,France,13
Port-Royal - Hôpital du Val-de-Grâce,4,14,Paris,France,13
Gare RER les Grésillons,15,6,Paris,France,13
Mairie du 3ème,16,14,Paris,France,13
Murat - Porte de Saint-Cloud,28,8,Paris,France,13
Félix Faure - Lourmel,54,4,Paris,France,13
Michel-Ange - Parent de Rosan,20,5,Paris,France,13
Paganini - Davout,4,18,Paris,France,13
Sorbier - Gasnier-Guy,1,32,Paris,France,13
Balard - Montagne de la Fage,32,4,Paris,France,13
Clichy - Place Blanche,2,17,Paris,France,13
Claude Vellefaux - Hôpital Saint-Louis,2,30,Paris,France,13
Place des Droits de l'Enfant,3,35,Paris,France,13
Adrien Lesesne - Docteur Bauer,2,27,Paris,France,13
Vivienne - Montmartre,36,3,Paris,France,13
Henri Chevreau - Couronnes,1,26,Paris,France,13
Godot de Mauroy - Madeleine,18,4,Paris,France,13
Place de l'Europe - Alfortville,20,3,Paris,France,13
Chemin de Bretagne,26,3,Paris,France,13
Verdier - République,1,28,Paris,France,13
Pailleron - Bouret,4,23,Paris,France,13
Crimée - Ourcq,2,52,Paris,France,13
Victor Hugo - Paul Eluard,14,16,Paris,France,13
Niger - Soult,2,20,Paris,France,13
Pavé des Gardes - Charles Vaillant,4,16,Paris,France,13
Messine - Place Du Pérou,6,6,Paris,France,13
Gare d'Asnières sur Seine,14,10,Paris,France,13
Dareau - Broussais,3,21,Paris,France,13
Gare SNCF Vanves-Malakoff,2,47,Paris,France,13
Carpeaux - Place Jacques Froment,3,16,Paris,France,13
Pontoise - La Tournelle,8,12,Paris,France,13
Manin - Secrétan,4,16,Paris,France,13
Pyrénées - Charles Renouvier,1,27,Paris,France,13
Cardinal Lavigerie,16,30,Paris,France,13
Cité Riverin - Château d'Eau,7,10,Paris,France,13
Mathurins - Auber,34,2,Paris,France,13
Choron - Martyrs,1,15,Paris,France,13
Charles Lecocq - Lecourbe,6,22,Paris,France,13
Emeriau - Beaugrenelle,60,10,Paris,France,13
Auguste Cain - Jean Moulin,2,37,Paris,France,13
Gare RER - Malleret-Joinville,12,8,Paris,France,13
Place aux Étoiles,33,7,Paris,France,13
Arago - Glacière,4,23,Paris,France,13
Pajol - Place Herbert,3,34,Paris,France,13
Boutroux - Porte de Vitry,41,7,Paris,France,13
Chabrol - d'Hauteville,4,7,Paris,France,13
Oratoire - Rivoli,17,1,Paris,France,13
René Binet - Porte de Montmartre,3,30,Paris,France,13
Parvis Corentin Celton,38,15,Paris,France,13
Stalingrad - Germaine Tailleferre,2,25,Paris,France,13
Square Boucicaut,52,6,Paris,France,13
Neuve Saint-Pierre - Beautreillis,10,9,Paris,France,13
Mairie de Montreuil,3,48,Paris,France,13
Place Jacques Madaule,15,9,Paris,France,13
Goutte d'or - Barbès,3,16,Paris,France,13
Pierre Levée - Fontaine Timbaud,2,20,Paris,France,13
Rapp - Place du Général Gouraud,20,7,Paris,France,13
Didot - Mariniers,4,30,Paris,France,13
Botzaris - Parc des Buttes Chaumont,0,20,Paris,France,13
Rochechouart lamartine,7,16,Paris,France,13
Departement - Pajol,3,16,Paris,France,13
Place Jean-Spire-Lemaître,4,46,Paris,France,13
Stade de la Habette,2,7,Paris,France,13
Henri Ravera - Gabriel Péri,0,27,Paris,France,13
Marc Sangnier - Division Leclerc,20,4,Paris,France,13
Villiers de l'Isle Adam - Pyrénées,0,20,Paris,France,13
Guy Môquet - Jean Moulin,22,8,Paris,France,13
Victor Cresson - Telles de la Poterie,24,7,Paris,France,13
Square Alban Satragne,2,28,Paris,France,13
Payenne - Square George Caïn,15,7,Paris,France,13
Sorbier - Ménilmontant,4,19,Paris,France,13
Favart - Italiens,14,2,Paris,France,13
Suresnes - Muette à Neuilly,3,27,Paris,France,13
Gare de la Garenne-Colombes,26,2,Paris,France,13
Grenelle - Dr Finlay,58,13,Paris,France,13
Halles - Bourdonnais,12,8,Paris,France,13
Porte Molitor,58,2,Paris,France,13
Censier - Santeuil,54,13,Paris,France,13
Eglise d'Auteuil,11,10,Paris,France,13
Place Mireille Havet,27,16,Paris,France,13
Pelleport - Belgrand,0,15,Paris,France,13
Louis Ganne - Davout,1,29,Paris,France,13
Place Paul Delouvrier,1,25,Paris,France,13
Place du 8 mai 1945.,9,21,Paris,France,13
Place Marcel Sembat,49,4,Paris,France,13
René Coty - Parc Montsouris,0,55,Paris,France,13
Gare de Lyon - Roland Barthes,49,18,Paris,France,13
Etienne Jodelle - Saint Ouen,3,30,Paris,France,13
Gambetta - Michelet,5,27,Paris,France,13
Nationale - Place Jules Guesde,20,2,Paris,France,13
Place Mongolfier,25,14,Paris,France,13
Chaussée d'Antin - Haussmann,22,4,Paris,France,13
Hôtel de Ville de Créteil,12,26,Paris,France,13
Maine - Jean Zay,8,40,Paris,France,13
Volontaires - Lecourbe,12,19,Paris,France,13
Louis Pasteur - Albert Petit,2,28,Paris,France,13
Louis Blanc - Aqueduc,5,32,Paris,France,13
Square du Carrefour de l'Insurrection,2,20,Paris,France,13
Metz - Marne,2,30,Paris,France,13
Perrault - Place du Louvre,18,10,Paris,France,13
Gare Routière de Saint Cloud,26,3,Paris,France,13
Exelmans - Versailles,43,5,Paris,France,13
Président Wilson - Jean Jaures,7,19,Paris,France,13
Square Georges Melies,4,34,Paris,France,13
Cadix - Hameau,4,32,Paris,France,13
Place Centrale,4,18,Paris,France,13
Choisy - Tolbiac,5,14,Paris,France,13
Mauroy - Cheminots,3,28,Paris,France,13
Reuilly - Daumesnil,1,35,Paris,France,13
Gardenat-Lapostol - Velettes,6,13,Paris,France,13
