name,free_bikes,empty_slots,city,country,position
Schleidenplatz / Waldeyerstraße,1,39,Berlin,Germany,9
Jelbi Klingelhöferstraße / Von-der-Heydt-Straße,1,39,Berlin,Germany,9
Bäumerplan / Wüsthoffstraße,0,40,Berlin,Germany,9
Prinzregentenstraße / Waghäuseler Straße,4,36,Berlin,Germany,9
Oberwallstraße / Jägerstraße,2,38,Berlin,Germany,9
Humannplatz / Stahlheimer Straße,1,39,Berlin,Germany,9
Wallstraße / Neue Grünstraße,9,31,Berlin,Germany,9
Jelbi Okerstraße / Schillerpromenade,1,39,Berlin,Germany,9
Jelbi Bundesdruckerei,0,40,Berlin,Germany,9
Jelbi Freiligrathstraße,1,39,Berlin,Germany,9
Studentenwerk / Aristotelessteig,10,30,Berlin,Germany,9
Dudenstraße / Boelckestraße,5,35,Berlin,Germany,9
Kopischstraße / Fidicinstraße,0,40,Berlin,Germany,9
S Halensee / Kurfürstendamm,6,34,Berlin,Germany,9
Jelbi Gabriel-Max-Straße / Wühlischstraße,5,35,Berlin,Germany,9
Jelbi S+U Hauptbahnhof / Washingtonplatz,12,28,Berlin,Germany,9
Kaskelstraße / Pfarrstraße,7,33,Berlin,Germany,9
DKB-Campus,0,40,Berlin,Germany,9
Jelbi Admiralbrücke,4,36,Berlin,Germany,9
Otto-Suhr-Allee / Cauerstraße,3,37,Berlin,Germany,9
Jelbi U Bülowstraße,3,37,Berlin,Germany,9
Fehrbelliner Straße  /  Choriner Straße,3,37,Berlin,Germany,9
Jelbi S Storkower Straße / Hermann-Blankenstein-Straße,0,40,Berlin,Germany,9
U Schillingstraße / Karl-Marx-Allee,3,37,Berlin,Germany,9
Bremer Straße / Bugenhagenstraße,3,37,Berlin,Germany,9
Sonnenallee / Treptower Straße,12,28,Berlin,Germany,9
Unter den Linden / Otto-Weiß-Haus,1,39,Berlin,Germany,9
Jelbi S Landsberger Allee / SSE,2,38,Berlin,Germany,9
Jelbi S Landsberger Allee / Otto-Ostrowski-Straße,0,40,Berlin,Germany,9
Hohenstaufenstraße / Kyffhäuserstraße,5,35,Berlin,Germany,9
Jelbi Futurium,0,40,Berlin,Germany,9
Jelbi S+U Hauptbahnhof / Heidestraße,24,16,Berlin,Germany,9
Jelbi U Görlitzer Straße / Skalitzer Straße,6,34,Berlin,Germany,9
Jelbi Tempelhofer Feld / Columbiadamm,4,36,Berlin,Germany,9
U Viktoria-Luise-Platz / Motzstraße,2,38,Berlin,Germany,9
Albertstraße / Hauptstraße,6,34,Berlin,Germany,9
Marienstraße / Albrechtsstraße,3,37,Berlin,Germany,9
Straße der Pariser Kommune / Karl-Marx-Allee,4,36,Berlin,Germany,9
U Möckernbrücke / Hallesches Ufer,0,40,Berlin,Germany,9
Legiendamm / Heinrich-Heine-Platz,1,39,Berlin,Germany,9
Jelbi U Museumsinsel,1,39,Berlin,Germany,9
Frankfurter Allee / Hubertusstraße,1,39,Berlin,Germany,9
Jelbi Kalckreuthstraße / Fuggerstraße,0,40,Berlin,Germany,9
Betriebsbahnhof Rummelsburg / Saganer Straße,2,38,Berlin,Germany,9
Voltastraße / Brunnenstraße,3,37,Berlin,Germany,9
Jelbi U Alexanderplatz / Bernhard-Weiß-Straße,1,39,Berlin,Germany,9
Jelbi Eingang Crashgate,2,38,Berlin,Germany,9
Jelbi Kalckreuthstraße / Kleiststraße,0,40,Berlin,Germany,9
S Greifswalder Straße / Greifswalder Straße,6,34,Berlin,Germany,9
Olga-Benario-Prestes-Straße / Greifswalder Straße,2,38,Berlin,Germany,9
Jelbi Klinikum Am Urban / Planufer,0,40,Berlin,Germany,9
Jelbi U Weinmeisterstraße,1,39,Berlin,Germany,9
Gürtelstraße / Oderstraße,1,39,Berlin,Germany,9
