name,free_bikes,empty_slots,city,country,position
virtuell - S Treptower Park (Puschkinallee/Elsenstraße),3,2.0,Berlin,Germany,4
U Ullsteinstraße (Staubenrauchbrücke),0,6.0,Berlin,Germany,4
Olivaer Platz (Nordwest),0,4.0,Berlin,Germany,4
Katzbachstraße,1,13.0,Berlin,Germany,4
Greifswalder Straße/Lehderstraße,3,1.0,Berlin,Germany,4
Linienstraße/Weydingerstraße,1,3.0,Berlin,Germany,4
U Alt-Tempelhof,2,2.0,Berlin,Germany,4
Grunewaldstraße/Eisenacher Straße,3,1.0,Berlin,Germany,4
U Schloßstraße,1,3.0,Berlin,Germany,4
Jelbi U Walther-Scheiber-Platz/Lefèvrestraße (FRI/LE),0,7.0,Berlin,Germany,4
Jelbi Paulstraße/Magnus-Hirschfeld-Ufer (MOA/PA),0,8.0,Berlin,Germany,4
Pankower Straße (Pasewalker Straße),0,4.0,Berlin,Germany,4
Reichenberger Straße/Lausitzer Straße,1,3.0,Berlin,Germany,4
Jelbi Selchower Straße/Schillerpromenade (NEU/SE),1,8.0,Berlin,Germany,4
S Ostkreuz (Südost),0,3.0,Berlin,Germany,4
VRAO 450 - Gartenplatz/Ackerstraße (Abstellfläche Mikromobilität),0,4.0,Berlin,Germany,4
Schwedter Straße/Korsörer Straße,1,3.0,Berlin,Germany,4
Kufsteiner Straße/Freiherr-vom-Stein-Straße,0,4.0,Berlin,Germany,4
U Blaschkoallee,0,4.0,Berlin,Germany,4
Köpenicker Straße/Eisenbahnstraße,2,8.0,Berlin,Germany,4
Obentrautstraße,2,6.0,Berlin,Germany,4
Dammweg/Köpenicker Landstraße,0,4.0,Berlin,Germany,4
Mehringdamm/Fidicinstraße,1,3.0,Berlin,Germany,4
M Siegfriedstraße/Josef-Orlopp-Straße,2,2.0,Berlin,Germany,4
Neue Jakobstraße/Köpenicker Straße,0,4.0,Berlin,Germany,4
S Baumschulenweg (West),1,3.0,Berlin,Germany,4
Lise-Meitner-Straße/Goslarer Ufer,0,4.0,Berlin,Germany,4
Großgörschenstraße (Alter St.-Matthäus-Kirchhof),0,4.0,Berlin,Germany,4
Jelbi S+U Potsdamer Platz/Botschaft von Kanada (MIT/PB),0,10.0,Berlin,Germany,4
Jelbi S+U Hauptbahnhof/Heidestraße (MOA/HA),1,7.0,Berlin,Germany,4
Stellingdamm (Essenplatz),2,2.0,Berlin,Germany,4
Obrikatstraße/Schnellerstraße,0,4.0,Berlin,Germany,4
Trautenaustraße/Ruth-Baumgarte-Straße,6,0.0,Berlin,Germany,4
Weserstaße (93),2,2.0,Berlin,Germany,4
Drachholzstraße (Bölschestraße),2,2.0,Berlin,Germany,4
Kesselsdorfstraße (Kolonnenstraße),1,3.0,Berlin,Germany,4
Jelbi Philharmonie (TIE/PH),2,6.0,Berlin,Germany,4
U Neu-Westend (Olympische Straße),0,4.0,Berlin,Germany,4
Jelbi Taubenstraße/Friedrichstraße (MIT/TA),0,8.0,Berlin,Germany,4
Mauritiuskirchstraße/John-Sieg-Straße,0,3.0,Berlin,Germany,4
Bayerischer Straße/Wittelsbacherstraße,0,4.0,Berlin,Germany,4
Aristide-Briand-Brücke (Kurt-Schumacher-Damm),0,4.0,Berlin,Germany,4
Jelbi Dieffenbachstr./Graefestr. (KRE/DI),2,9.0,Berlin,Germany,4
Marzahner Chausee/Ruwersteig,0,4.0,Berlin,Germany,4
Hoppendorfer Straße (Kaulsdorfer Straße),0,4.0,Berlin,Germany,4
Heinrich-Heine Platz,2,2.0,Berlin,Germany,4
Albrechtstraße/Manteuffelstraße,4,0.0,Berlin,Germany,4
Oderbergerstraße 54 (Abstellfläche-Mikromobilität),4,2.0,Berlin,Germany,4
Weserstraße/Gürtelstraße,0,4.0,Berlin,Germany,4
