name,free_bikes,empty_slots,city,country,position
WESTERN WAY,6,34,Dublin,Ireland,15
PRINCES STREET / O'CONNELL STREET,7,16,Dublin,Ireland,15
FITZWILLIAM SQUARE WEST,19,11,Dublin,Ireland,15
BOLTON STREET,14,6,Dublin,Ireland,15
GRANGEGORMAN LOWER (SOUTH),7,33,Dublin,Ireland,15
SMITHFIELD,17,13,Dublin,Ireland,15
YORK STREET EAST,18,14,Dublin,Ireland,15
CLARENDON ROW,31,0,Dublin,Ireland,15
ECCLES STREET EAST,2,25,Dublin,Ireland,15
KING STREET NORTH,3,27,Dublin,Ireland,15
BENSON STREET,36,4,Dublin,Ireland,15
GRANGEGORMAN LOWER (CENTRAL),1,39,Dublin,Ireland,15
ROTHE ABBEY,6,29,Dublin,Ireland,15
CITY QUAY,7,23,Dublin,Ireland,15
CLONMEL STREET,26,7,Dublin,Ireland,15
FITZWILLIAM SQUARE EAST,13,27,Dublin,Ireland,15
EARLSFORT TERRACE,24,6,Dublin,Ireland,15
PEARSE STREET,7,23,Dublin,Ireland,15
JAMES STREET EAST,30,0,Dublin,Ireland,15
JOHN STREET WEST,2,29,Dublin,Ireland,15
EXCISE WALK,7,33,Dublin,Ireland,15
MOUNTJOY SQUARE EAST,0,40,Dublin,Ireland,15
KILMAINHAM LANE,0,30,Dublin,Ireland,15
FRANCIS STREET,4,26,Dublin,Ireland,15
GRATTAN STREET,13,10,Dublin,Ireland,15
HIGH STREET,2,27,Dublin,Ireland,15
MERRION SQUARE EAST,21,9,Dublin,Ireland,15
HARCOURT TERRACE,16,4,Dublin,Ireland,15
HEUSTON BRIDGE (NORTH),1,39,Dublin,Ireland,15
LEINSTER STREET SOUTH,28,2,Dublin,Ireland,15
GRANGEGORMAN LOWER (NORTH),0,36,Dublin,Ireland,15
PORTOBELLO HARBOUR,6,24,Dublin,Ireland,15
THE POINT,22,18,Dublin,Ireland,15
GEORGES QUAY,9,11,Dublin,Ireland,15
BROADSTONE,0,30,Dublin,Ireland,15
HEUSTON STATION (CAR PARK),1,39,Dublin,Ireland,15
PARNELL SQUARE NORTH,1,19,Dublin,Ireland,15
PARNELL STREET,8,12,Dublin,Ireland,15
AVONDALE ROAD,4,31,Dublin,Ireland,15
YORK STREET WEST,0,0,Dublin,Ireland,15
DAME STREET,15,1,Dublin,Ireland,15
CHARLEMONT PLACE,19,21,Dublin,Ireland,15
HANOVER QUAY EAST,19,20,Dublin,Ireland,15
PARKGATE STREET,1,37,Dublin,Ireland,15
BROOKFIELD ROAD,0,30,Dublin,Ireland,15
TOWNSEND STREET,10,10,Dublin,Ireland,15
ST JAMES HOSPITAL (LUAS),1,39,Dublin,Ireland,15
SOUTH DOCK ROAD,7,22,Dublin,Ireland,15
MOUNT STREET LOWER,19,21,Dublin,Ireland,15
GEORGES LANE,14,26,Dublin,Ireland,15
BLESSINGTON STREET,10,10,Dublin,Ireland,15
SIR PATRICK DUN'S,25,15,Dublin,Ireland,15
NORTH CIRCULAR ROAD,0,30,Dublin,Ireland,15
MOLESWORTH STREET,14,6,Dublin,Ireland,15
EMMET ROAD,0,40,Dublin,Ireland,15
HARDWICKE PLACE,0,25,Dublin,Ireland,15
MERRION SQUARE SOUTH,16,24,Dublin,Ireland,15
TALBOT STREET,5,35,Dublin,Ireland,15
ST. STEPHEN'S GREEN EAST,20,20,Dublin,Ireland,15
GRAND CANAL DOCK,26,12,Dublin,Ireland,15
MOUNTJOY SQUARE WEST,0,30,Dublin,Ireland,15
FREDERICK STREET SOUTH,37,3,Dublin,Ireland,15
BARROW STREET,2,19,Dublin,Ireland,15
GOLDEN LANE,7,13,Dublin,Ireland,15
MERRION SQUARE WEST,18,2,Dublin,Ireland,15
MOUNT BROWN,0,22,Dublin,Ireland,15
CHRISTCHURCH PLACE,3,17,Dublin,Ireland,15
HEUSTON BRIDGE (SOUTH),0,25,Dublin,Ireland,15
FOWNES STREET UPPER,29,1,Dublin,Ireland,15
GREEK STREET,10,10,Dublin,Ireland,15
GRANTHAM STREET,3,27,Dublin,Ireland,15
WILTON TERRACE,13,7,Dublin,Ireland,15
WILTON TERRACE (PARK),39,0,Dublin,Ireland,15
DEVERELL PLACE,8,22,Dublin,Ireland,15
PHIBSBOROUGH ROAD,6,34,Dublin,Ireland,15
RATHDOWN ROAD,7,33,Dublin,Ireland,15
LIME STREET,40,0,Dublin,Ireland,15
HARDWICKE STREET,1,15,Dublin,Ireland,15
HERBERT STREET,40,0,Dublin,Ireland,15
BUCKINGHAM STREET LOWER,6,23,Dublin,Ireland,15
UPPER SHERRARD STREET,0,30,Dublin,Ireland,15
SMITHFIELD NORTH,22,8,Dublin,Ireland,15
KILMAINHAM GAOL,2,38,Dublin,Ireland,15
MATER HOSPITAL,0,40,Dublin,Ireland,15
NEW CENTRAL BANK,20,20,Dublin,Ireland,15
FENIAN STREET,5,30,Dublin,Ireland,15
ORMOND QUAY UPPER,8,21,Dublin,Ireland,15
OLIVER BOND STREET,1,29,Dublin,Ireland,15
BLACKHALL PLACE,11,19,Dublin,Ireland,15
NEWMAN HOUSE,21,19,Dublin,Ireland,15
COLLINS BARRACKS MUSEUM,2,36,Dublin,Ireland,15
ST. STEPHEN'S GREEN SOUTH,20,10,Dublin,Ireland,15
CATHAL BRUGHA STREET,9,11,Dublin,Ireland,15
CUSTOM HOUSE,3,27,Dublin,Ireland,15
GUILD STREET,11,27,Dublin,Ireland,15
KEVIN STREET,7,32,Dublin,Ireland,15
EXCHEQUER STREET,21,3,Dublin,Ireland,15
HATCH STREET,16,20,Dublin,Ireland,15
JERVIS STREET,5,15,Dublin,Ireland,15
ECCLES STREET,5,15,Dublin,Ireland,15
ROYAL HOSPITAL,0,40,Dublin,Ireland,15
WOLFE TONE STREET,27,2,Dublin,Ireland,15
MARKET STREET SOUTH,2,36,Dublin,Ireland,15
CONVENTION CENTRE,36,2,Dublin,Ireland,15
PORTOBELLO ROAD,16,14,Dublin,Ireland,15
NORTH CIRCULAR ROAD (O'CONNELL'S),1,29,Dublin,Ireland,15
DENMARK STREET GREAT,4,16,Dublin,Ireland,15
HEUSTON STATION (CENTRAL),0,40,Dublin,Ireland,15
HERBERT PLACE,28,0,Dublin,Ireland,15
CHARLEVILLE ROAD,15,25,Dublin,Ireland,15
JAMES STREET,2,38,Dublin,Ireland,15
SANDWITH STREET,1,39,Dublin,Ireland,15
CUSTOM HOUSE QUAY,2,28,Dublin,Ireland,15
HANOVER QUAY,39,1,Dublin,Ireland,15
KILLARNEY STREET,0,30,Dublin,Ireland,15
