name,free_bikes,empty_slots,city,country,position
Langkaia,5,7,Oslo,Norway,1
Spikersuppa Vest,6,34,Oslo,Norway,1
Vippetangen vest,0,30,Oslo,Norway,1
Kjeld Stubs gate,2,10,Oslo,Norway,1
Studentparlamentet,1,29,Oslo,Norway,1
Kirkeveien,0,23,Oslo,Norway,1
Blindern vgs,0,20,Oslo,Norway,1
Kværnerbyen,20,10,Oslo,Norway,1
Elgsletta,10,19,Oslo,Norway,1
Bislett Stadion,19,5,Oslo,Norway,1
Bjølsen Studentby,4,15,Oslo,Norway,1
Tordenskiolds gate,3,21,Oslo,Norway,1
Griffenfeldts gate,0,15,Oslo,Norway,1
Aker Brygge 2 mot Rådhusplassen,7,15,Oslo,Norway,1
Munkegata,7,17,Oslo,Norway,1
Bøkkerveien,9,6,Oslo,Norway,1
Sagene bussholdeplass,14,0,Oslo,Norway,1
Bjerregaards gate,6,15,Oslo,Norway,1
Norsk Folkemuseum,3,24,Oslo,Norway,1
St. Hanshaugen park sør,2,10,Oslo,Norway,1
Rostockgata,15,2,Oslo,Norway,1
Dokkveien,11,4,Oslo,Norway,1
Karenslyst allé,20,15,Oslo,Norway,1
Vestre Aker Kirke,0,19,Oslo,Norway,1
Dælenenggata,7,13,Oslo,Norway,1
Suhms gate,4,15,Oslo,Norway,1
Torshovdalen øst,0,25,Oslo,Norway,1
The Hub,2,19,Oslo,Norway,1
Vålerenga,5,16,Oslo,Norway,1
Oslo Handelsgymnasium,18,7,Oslo,Norway,1
Bjørvika,3,26,Oslo,Norway,1
Landstads gate,4,23,Oslo,Norway,1
Hasle,18,11,Oslo,Norway,1
Trelastgata,3,14,Oslo,Norway,1
Hydroparken,23,7,Oslo,Norway,1
Skarpsnoparken,16,8,Oslo,Norway,1
Marienlystparken,0,24,Oslo,Norway,1
Frøen T-bane,0,15,Oslo,Norway,1
Hausmanns gate,4,17,Oslo,Norway,1
Lille Grensen,2,12,Oslo,Norway,1
Tøyenbekken,1,28,Oslo,Norway,1
Vår Frelsers gravlund,8,10,Oslo,Norway,1
Tannlegehøyskolen,0,15,Oslo,Norway,1
Salt,5,10,Oslo,Norway,1
Kontraskjæret,6,6,Oslo,Norway,1
Huk 1,2,25,Oslo,Norway,1
Dyvekes bru,11,1,Oslo,Norway,1
Tåsenløkka,1,17,Oslo,Norway,1
HasleLinje,8,4,Oslo,Norway,1
Jordalgata,5,19,Oslo,Norway,1
Botanisk Hage vest,16,11,Oslo,Norway,1
Bak Niels Treschows hus sør,0,41,Oslo,Norway,1
Sjøsiden 2 ved fontenen,2,47,Oslo,Norway,1
Colbjørnsens gate,2,16,Oslo,Norway,1
Grønlands torg,5,7,Oslo,Norway,1
Ringnes Park,15,2,Oslo,Norway,1
Sentrum Scene,8,16,Oslo,Norway,1
Tiedemannsparken,0,25,Oslo,Norway,1
Stavangergata,9,19,Oslo,Norway,1
Hoff terrasse holdeplass,23,1,Oslo,Norway,1
Hallings gate,0,24,Oslo,Norway,1
Lindern,12,9,Oslo,Norway,1
Thereses gate,0,9,Oslo,Norway,1
Klingenberggata,13,2,Oslo,Norway,1
Uranienborgparken,9,6,Oslo,Norway,1
Myraløkka Øst,9,5,Oslo,Norway,1
Badebakken,3,15,Oslo,Norway,1
Krebs' gate,5,13,Oslo,Norway,1
Paléhaven,3,45,Oslo,Norway,1
Storo Storsenter,17,18,Oslo,Norway,1
Domus Athletica,1,29,Oslo,Norway,1
St. Hanshaugen park nord,0,15,Oslo,Norway,1
BI Nydalen,1,40,Oslo,Norway,1
Sinsen T-bane,0,23,Oslo,Norway,1
Schous plass trikkestopp,14,6,Oslo,Norway,1
Borgenveien,0,9,Oslo,Norway,1
Valkyrieplassen,2,10,Oslo,Norway,1
Olaf Ryes plass,7,26,Oslo,Norway,1
Anker Hotel,10,7,Oslo,Norway,1
Skillebekk,9,6,Oslo,Norway,1
Pilestredet,0,18,Oslo,Norway,1
Sofienbergparken sør,3,9,Oslo,Norway,1
Carl Berners plass nord,8,13,Oslo,Norway,1
Lille Schous plass,6,0,Oslo,Norway,1
Økernveien,14,3,Oslo,Norway,1
Kværnerveien,1,5,Oslo,Norway,1
Studenterlunden,11,4,Oslo,Norway,1
Valle Vision,0,20,Oslo,Norway,1
Jens Bjelkes Gate,18,2,Oslo,Norway,1
Finnmarksgata,3,11,Oslo,Norway,1
Colletts gate,0,21,Oslo,Norway,1
Elisenberg,2,13,Oslo,Norway,1
Kirkegata 15,4,8,Oslo,Norway,1
Thune,14,5,Oslo,Norway,1
Carl Berners plass sør,5,6,Oslo,Norway,1
Hedmarksgata,10,7,Oslo,Norway,1
Filipstadveien,17,21,Oslo,Norway,1
7. juni-plassen,10,11,Oslo,Norway,1
Fredensborg,14,1,Oslo,Norway,1
Frogner Tennisklubb,3,12,Oslo,Norway,1
Frogner plass,1,17,Oslo,Norway,1
Arendalsgata,12,12,Oslo,Norway,1
Sjølyst,13,4,Oslo,Norway,1
Vippetangen øst,1,14,Oslo,Norway,1
Annette Thommessens Plass,2,10,Oslo,Norway,1
Colletts gate 31,6,9,Oslo,Norway,1
Fysikkbygningen,0,45,Oslo,Norway,1
Sofienbergparken nord,18,15,Oslo,Norway,1
Kirkeristen,11,12,Oslo,Norway,1
Hoffsveien,6,12,Oslo,Norway,1
Munkedamsveien,7,13,Oslo,Norway,1
Briskeby,0,15,Oslo,Norway,1
Georg Morgenstiernes hus,1,42,Oslo,Norway,1
Aker Brygge 3 mot Fergene,2,11,Oslo,Norway,1
Stortingstunnelen,11,12,Oslo,Norway,1
Adamstuen,1,5,Oslo,Norway,1
Alexander Kiellands Plass,17,7,Oslo,Norway,1
Nydalen,5,13,Oslo,Norway,1
Vulkan,14,2,Oslo,Norway,1
Brugata,2,16,Oslo,Norway,1
Mølleparken,3,21,Oslo,Norway,1
OsloMet,13,12,Oslo,Norway,1
Tåsen Senter,1,20,Oslo,Norway,1
Rolf Wickstrøms vei,0,20,Oslo,Norway,1
Majorstuen,1,15,Oslo,Norway,1
Lørenporten,2,18,Oslo,Norway,1
Riddervoldplass,1,14,Oslo,Norway,1
Idioten,0,16,Oslo,Norway,1
Frognerbadet,1,17,Oslo,Norway,1
Blindern Studenthus,14,9,Oslo,Norway,1
Jarlsborgveien,1,17,Oslo,Norway,1
Leirfallsgata,14,0,Oslo,Norway,1
Arkitekt Rivertz Plass,26,4,Oslo,Norway,1
Ila,1,17,Oslo,Norway,1
St. Hanshaugen,0,12,Oslo,Norway,1
Brynseng T-bane,8,13,Oslo,Norway,1
Via Vika,8,7,Oslo,Norway,1
Vestkanttorvet,9,6,Oslo,Norway,1
Friggfeltet,3,17,Oslo,Norway,1
Stensparken,1,14,Oslo,Norway,1
Lørenveien,1,19,Oslo,Norway,1
Helga Helgesens plass,3,22,Oslo,Norway,1
Bak Niels Treschows hus nord,0,42,Oslo,Norway,1
Egertorget,26,4,Oslo,Norway,1
Holbergs plass,4,6,Oslo,Norway,1
Mandalls gate,7,2,Oslo,Norway,1
Bentsebrugata,4,18,Oslo,Norway,1
