name,free_bikes,empty_slots,city,country,position
" PL  JOANIC - C / BRUNIQUER, 59",0,16,Barcelona,Spain,6
"C/ SARDENYA,  178",32,5,Barcelona,Spain,6
"PL. CATALUNYA, 7",24,1,Barcelona,Spain,6
"C/ VILADOMAT, 200",0,23,Barcelona,Spain,6
"C/ DEL DOCTOR TRUETA, 222",12,8,Barcelona,Spain,6
"C/ FELIP II, 214",12,15,Barcelona,Spain,6
"C/ BAC DE RODA, 11",14,7,Barcelona,Spain,6
"PG. PUJADES, 2",17,9,Barcelona,Spain,6
"AV. PARAL.LEL, 54",5,11,Barcelona,Spain,6
"AV. PARAL·LEL, 146 BIS",23,15,Barcelona,Spain,6
"C/ VILLARROEL, 39",6,26,Barcelona,Spain,6
"C/ SARDENYA, 362",2,18,Barcelona,Spain,6
"AV. RASOS DE PEGUERA, 10",17,3,Barcelona,Spain,6
"C/ SANT ADRIÀ, 2-8",18,5,Barcelona,Spain,6
"C/ PALLARS, 182",19,8,Barcelona,Spain,6
PL. TETUAN,9,13,Barcelona,Spain,6
"C/ ROSSELLÓ, 108-110",1,14,Barcelona,Spain,6
"C/ CONSELL DE CENT, 566",29,9,Barcelona,Spain,6
"C/ BRUC, 88",1,14,Barcelona,Spain,6
"C/ PAU ALSINA, 54",2,22,Barcelona,Spain,6
"C/ CAMÈLIES, 78",5,21,Barcelona,Spain,6
"C/ BAILÉN, 100",8,20,Barcelona,Spain,6
"AV. DIAGONAL, 680",3,21,Barcelona,Spain,6
"LA RAMBLA, 1",14,5,Barcelona,Spain,6
"C/ ALT DE GIRONELLA, 13",2,20,Barcelona,Spain,6
"C/ SANT ANTONI Mª CLARET, 290-296",13,14,Barcelona,Spain,6
"AV. DIAGONAL, 668",7,25,Barcelona,Spain,6
"VIA FAVÈNCIA, 186",9,15,Barcelona,Spain,6
"AV. DIAGONAL, 602",0,22,Barcelona,Spain,6
"C/ J. MAYNARD KEYNES, 2|AV. DGNAL.",2,46,Barcelona,Spain,6
"C/ JOSEP PLA, 67",13,8,Barcelona,Spain,6
"AV. MERIDIANA, 47 (D)",20,19,Barcelona,Spain,6
"C/ BILBAO, 2",22,2,Barcelona,Spain,6
CAMPANA DE LA MAQUINISTA (SAO PAULO I PL. DE,8,19,Barcelona,Spain,6
"C/ SARDENYA, 292",0,16,Barcelona,Spain,6
"RBLA. CATALUNYA, 33 - C/ DIPUTACIÓ",0,24,Barcelona,Spain,6
"C/ ROSA SENSAT, 20",5,13,Barcelona,Spain,6
"C/ DIPUTACIÓ, 200",4,22,Barcelona,Spain,6
"C/ PUJADES, 57B",16,8,Barcelona,Spain,6
"C/ VILADOMAT, 244",3,25,Barcelona,Spain,6
"C/ NÀPOLS, 125",9,21,Barcelona,Spain,6
"PG. FABRA I PUIG, 385",2,24,Barcelona,Spain,6
"C/ GARRIGA I ROCA, 2",6,8,Barcelona,Spain,6
"C/ DIPUTACIÓ, 272",1,22,Barcelona,Spain,6
"C/ SANT ISCLE, 60",16,11,Barcelona,Spain,6
"C/ DE BARTRINA, 14",10,11,Barcelona,Spain,6
