name,free_bikes,empty_slots,city,country,position
_PLAZA DE LA CONCORDIA,7,12,Sevilla,Spain,3
_AVENIDA KANSAS CITY,10,10,Sevilla,Spain,3
_CALLE AMERICO VESPUCIO,0,20,Sevilla,Spain,3
_CALLE DOCTOR JAIME MARCOS,4,13,Sevilla,Spain,3
_CALLE SAN JUAN BOSCO,18,2,Sevilla,Spain,3
_CALLE VIRGEN DE LUJAN,20,0,Sevilla,Spain,3
_CALLE LAS LEANDRAS,14,1,Sevilla,Spain,3
_PLAZA DE ARMAS,27,10,Sevilla,Spain,3
_AVENIDA DE LAS CIENCIAS,4,11,Sevilla,Spain,3
_RONDA DE TRIANA,15,0,Sevilla,Spain,3
_PLAZA CRISTO DE BURGOS,0,15,Sevilla,Spain,3
_PLAZA CHAPINA,18,2,Sevilla,Spain,3
_CAMINO DE LOS DESCUBRIMIENTOS,0,20,Sevilla,Spain,3
_CALLE LUIS MORALES,13,15,Sevilla,Spain,3
_CALLE TABLADILLA,2,18,Sevilla,Spain,3
_CALLE JOSÉ SARAMAGO,16,4,Sevilla,Spain,3
_AVENIDA EDUARDO DATO,2,18,Sevilla,Spain,3
_CALLE DOCTOR LAFFON,7,8,Sevilla,Spain,3
_AVENIDA REINA MERCEDES,1,29,Sevilla,Spain,3
_GLORIETA SAN DIEGO,4,11,Sevilla,Spain,3
_AVENIDA HYTASA,20,0,Sevilla,Spain,3
_CALLE AMERICO VESPUCIO,1,19,Sevilla,Spain,3
_PASEO CATALINA RIBERA,15,5,Sevilla,Spain,3
_CALLE ENRAMADILLA,1,19,Sevilla,Spain,3
_AVENIDA ALCALDE LUIS URUÑUELA,8,22,Sevilla,Spain,3
_CALLE DOCTOR LAFFON,7,13,Sevilla,Spain,3
_CALLE AMÉRICO VESPUCIO,1,18,Sevilla,Spain,3
_AVENIDA DE LAS CIENCIAS,6,9,Sevilla,Spain,3
_CALLE AMOR,8,12,Sevilla,Spain,3
_CIUDAD DE CHIVA,3,12,Sevilla,Spain,3
_CALLE DEL INCA GARCILASO,1,36,Sevilla,Spain,3
_AVENIDA ALCALDE MANUEL DEL VALLE,6,13,Sevilla,Spain,3
_AVENIDA TORNEO,4,16,Sevilla,Spain,3
_AVENIDA ALCALDE LUIS URUÑUELA,7,9,Sevilla,Spain,3
_AVENIDA DE ALVAR NUÑEZ,19,0,Sevilla,Spain,3
_CAMINO DE LOS DESCUBRIMIENTOS,0,20,Sevilla,Spain,3
_CALLE MANUEL SIUROT,3,17,Sevilla,Spain,3
_PLAZA DEL ALTOZANO,14,0,Sevilla,Spain,3
_CAMINO DE LOS TOROS,4,16,Sevilla,Spain,3
_CALLE ASUNCIÓN,20,0,Sevilla,Spain,3
_CALLE BETIS,19,0,Sevilla,Spain,3
_CALLE SINAÍ,8,6,Sevilla,Spain,3
_AVENIDA ALEMANIA,15,0,Sevilla,Spain,3
_CALLE PROCURADOR,18,1,Sevilla,Spain,3
_AVENIDA DE ANDALUCIA,17,3,Sevilla,Spain,3
_AVENIDA ALCALDE LUIS URUÑUELA,5,10,Sevilla,Spain,3
_CALLE CIUDAD DE LIRIA,11,4,Sevilla,Spain,3
_AVENIDA DE ROMA,7,21,Sevilla,Spain,3
_CALLE FRANCISCO MURILLO,7,12,Sevilla,Spain,3
_AVENIDA DE CHILE,2,18,Sevilla,Spain,3
_AVENIDA CARDENAL BUENO MONREAL,18,2,Sevilla,Spain,3
_PLAZA DEL ZURRAQUE,16,2,Sevilla,Spain,3
_AVENIDA ALCALDE LUIS URUÑUELA,8,1,Sevilla,Spain,3
_CALLE THARSIS,20,0,Sevilla,Spain,3
_AVDA. FLOTA DE INDIAS,17,1,Sevilla,Spain,3
_AVDA ESPERANZA DE TRIANA,18,2,Sevilla,Spain,3
_GLORIETA BIZCO AMATE,19,1,Sevilla,Spain,3
_CALLE DE SALVADOR ALLENDE,10,5,Sevilla,Spain,3
_PASEO CRISTOBAL COLON,12,8,Sevilla,Spain,3
_AVENIDA DE LA PAZ,10,10,Sevilla,Spain,3
_AVENIDA DE LA CRUZ ROJA,14,2,Sevilla,Spain,3
_AVENIDA DE MIRAFLORES,9,3,Sevilla,Spain,3
_ALHAMBRA,23,7,Sevilla,Spain,3
_PLAZA DUQUESA DE ALBA,1,29,Sevilla,Spain,3
_ALAMEDA DE HERCULES,18,1,Sevilla,Spain,3
_PLAZA DEL PELICANO,11,5,Sevilla,Spain,3
_REVOLTOSA,11,7,Sevilla,Spain,3
_AVENIDA DE ALEMANIA,9,6,Sevilla,Spain,3
_CALLE LEONARDO DA VINCI,3,37,Sevilla,Spain,3
_PLAZA JERÓNIMO DE CORDOBA,5,15,Sevilla,Spain,3
_CALLE CHURRUCA,5,10,Sevilla,Spain,3
_RONDA TAMARGUILLO,4,16,Sevilla,Spain,3
_CALLE ALFONSO LASO DE LA VEGA,5,13,Sevilla,Spain,3
_CALLE DE MADRESELVA,9,10,Sevilla,Spain,3
_CALLE VIRGEN DE LUJÁN,20,1,Sevilla,Spain,3
_CAMINO DE LOS DESCUBRIMIENTOS,0,40,Sevilla,Spain,3
_AVENIDA LA BUHAIRA,20,0,Sevilla,Spain,3
_CALLE PINO MONTANO,5,15,Sevilla,Spain,3
_CALLE JOSE LAGUILLO,16,4,Sevilla,Spain,3
_CALLE FLOR DE RETAMA,4,11,Sevilla,Spain,3
_CALLE SAN PABLO,17,3,Sevilla,Spain,3
_CALLE ALFARERIA,19,1,Sevilla,Spain,3
_AVENIDA DE CORIA,20,0,Sevilla,Spain,3
_AVDA. CRUZ CAMPO,7,7,Sevilla,Spain,3
_AVENIDA KANSAS CITY,4,11,Sevilla,Spain,3
_CALLE REYES CATÓLICOS,16,1,Sevilla,Spain,3
_CALLE PROFESOR JUAN MANUEL MARTINEZ MORENO,7,12,Sevilla,Spain,3
_CALLE LOPEZ DE GOMARA,20,0,Sevilla,Spain,3
_ESTACA DE VARES,7,10,Sevilla,Spain,3
_CALLE LEÓN XIII,7,8,Sevilla,Spain,3
_PERO MINGO,9,21,Sevilla,Spain,3
_CALLE MUÑOZ LEÓN,10,5,Sevilla,Spain,3
_PLAZA SAN MARTÍN DE PORRES,14,1,Sevilla,Spain,3
_CARRETERA DE CARMONA,10,5,Sevilla,Spain,3
_CALLE LEONARDO DA VINCI,0,20,Sevilla,Spain,3
_RONDA TAMARGUILLO,17,3,Sevilla,Spain,3
_CALLE ZORZAL,6,8,Sevilla,Spain,3
_CALLE AMADOR DE LOS RIOS,16,3,Sevilla,Spain,3
_AVDA. RAMON Y CAJAL,18,12,Sevilla,Spain,3
_CALLE DE HERNÁN CORTÉS,9,4,Sevilla,Spain,3
_CALLE RAFAEL SALGADO,6,12,Sevilla,Spain,3
_CALLE JANDULA CON CALLE GUADIEL,13,7,Sevilla,Spain,3
_CALLE CORRAL DEL AGUA,15,5,Sevilla,Spain,3
_PUERTO DE LOS AZORES,13,2,Sevilla,Spain,3
_AVENIDA DE LA PALMERA,0,20,Sevilla,Spain,3
_RONDA PADRE PIO,5,10,Sevilla,Spain,3
_AVENIDA REINA MERCEDES,0,25,Sevilla,Spain,3
_RONDA CAPUCHINOS,9,5,Sevilla,Spain,3
_AVENIDA KANSAS CITY,8,12,Sevilla,Spain,3
_AVENIDA ALCALDE MANUEL DEL VALLE,11,9,Sevilla,Spain,3
_CALLE JOSÉ MARÍA MORENO GALVÁN,11,9,Sevilla,Spain,3
_CALLE URQUIZA,9,11,Sevilla,Spain,3
_CALLE VICTORIA KENT,6,9,Sevilla,Spain,3
_AVDA DE LA BARZOLA,6,14,Sevilla,Spain,3
_AVENIDA EDUARDO DATO,2,13,Sevilla,Spain,3
