name,free_bikes,empty_slots,city,country,position
"300073 - Prince of Wales Drive, Battersea Park",12,6,London,United Kingdom,7
"003447 - Gloucester Road (North), Kensington",0,18,London,United Kingdom,7
"200213 - Durant Street, Bethnal Green",18,2,London,United Kingdom,7
"003488 - Charles II Street, West End",0,24,London,United Kingdom,7
"001126 - North Audley Street, Mayfair",1,14,London,United Kingdom,7
"300004 - Harris Academy, Bermondsey",17,0,London,United Kingdom,7
"001209 - Empire Square, The Borough",28,16,London,United Kingdom,7
"001189 - Long Lane , Bermondsey",14,5,London,United Kingdom,7
"001068 - Norton Folgate, Liverpool Street",0,22,London,United Kingdom,7
"001057 - Hardwick Street, Clerkenwell",12,17,London,United Kingdom,7
"001204 - Queen's Gate (North), Kensington",0,40,London,United Kingdom,7
"200052 - Exhibition Road Museums 2, South Kensington",0,14,London,United Kingdom,7
"001158 - St. Martin's Street, West End",12,6,London,United Kingdom,7
"001143 - Kensington Church Street, Kensington",12,3,London,United Kingdom,7
"200072 - Houndsditch, Aldgate",0,28,London,United Kingdom,7
"002701 - Columbia Road, Shoreditch",14,7,London,United Kingdom,7
"001190 - Kennington Lane Rail Bridge, Vauxhall",27,0,London,United Kingdom,7
"200249 - Queen Mary's, Mile End",11,32,London,United Kingdom,7
"200050 - Naval Row, Blackwall",21,0,London,United Kingdom,7
"001152 - Marylebone Lane, Marylebone",0,22,London,United Kingdom,7
"300212 - Birkenhead Street, King's Cross",18,9,London,United Kingdom,7
"001174 - Alderney Street, Pimlico",11,1,London,United Kingdom,7
"001099 - Frampton Street, Paddington",27,5,London,United Kingdom,7
"200127 - East India DLR, Blackwall",24,25,London,United Kingdom,7
"200198 - Seymour Place, Marylebone",9,18,London,United Kingdom,7
"001231 - Queen's Gate, Kensington Gardens",2,14,London,United Kingdom,7
"200017 - Lancaster Gate , Bayswater",33,4,London,United Kingdom,7
"200118 - Albert Street, Camden Town",18,7,London,United Kingdom,7
"200091 - Wandsworth Town Station, Wandsworth",30,2,London,United Kingdom,7
"001191 - Barbican Centre, Barbican",1,18,London,United Kingdom,7
"010623 - Greycoat Street , Westminster",1,16,London,United Kingdom,7
"200149 - Watney Street, Shadwell",3,21,London,United Kingdom,7
"001019 - Ampton Street , Clerkenwell",8,12,London,United Kingdom,7
"300058 - The Vale, Chelsea",11,9,London,United Kingdom,7
"200073 - Cephas Street, Bethnal Green",23,0,London,United Kingdom,7
"200180 - South Park, Sands End",26,2,London,United Kingdom,7
"300081 - Haggerston Road, Haggerston",20,16,London,United Kingdom,7
"200189 - Phene Street, Chelsea",1,22,London,United Kingdom,7
"200209 - Shepherd's Bush Road North, Shepherd's Bush",18,14,London,United Kingdom,7
"200077 - Vicarage Crescent, Battersea",16,12,London,United Kingdom,7
"002587 - Wormwood Street, Liverpool Street",1,14,London,United Kingdom,7
"200190 - Queen's Circus, Battersea Park",18,6,London,United Kingdom,7
"200220 - Blythe Road West, Shepherd's Bush",8,13,London,United Kingdom,7
"001037 - Park Lane , Hyde Park",1,22,London,United Kingdom,7
"300208 - Lavington Street, Bankside",2,27,London,United Kingdom,7
"200168 - Southern Grove, Bow",5,11,London,United Kingdom,7
"002641 - New North Road 2, Hoxton",12,10,London,United Kingdom,7
"001155 - Regency Street, Westminster",7,15,London,United Kingdom,7
"200218 - Addison Road, Holland Park",23,2,London,United Kingdom,7
"300209 - Albert Square, Stockwell",32,0,London,United Kingdom,7
"003449 - Breams Buildings, Holborn",0,24,London,United Kingdom,7
"300251 - Rotherhithe Roundabout, Rotherhithe Temp",0,0,London,United Kingdom,7
"200194 - Clarence Walk, Stockwell",28,0,London,United Kingdom,7
