name,free_bikes,empty_slots,city,country,position
Broadway at Kittie Knox Bike Path,0,23,Boston,Usa,10
Hawthorne Boulevard,5,4,Boston,Usa,10
Congress St at Northern Ave,4,11,Boston,Usa,10
Dorchester Ave at King St,15,0,Boston,Usa,10
Roxbury Crossing T Stop - Columbus Ave at Tremont St,20,3,Boston,Usa,10
Northern Strand at Salem Street,8,2,Boston,Usa,10
JFK Crossing at Harvard St. / Thorndike St.,15,0,Boston,Usa,10
Bennington St at Byron St,7,8,Boston,Usa,10
Washington St at Rutland St,22,5,Boston,Usa,10
Linwood St at Minuteman Bikeway,7,4,Boston,Usa,10
645 Summer St,15,4,Boston,Usa,10
Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,3,14,Boston,Usa,10
Tremont St at West St,5,10,Boston,Usa,10
Damrell St at Old Colony,19,0,Boston,Usa,10
Pope John Paul II Park - Neponset Trail at Hallet St,16,3,Boston,Usa,10
Chestnut Hill Ave at Ledgemere Rd,13,6,Boston,Usa,10
Herter Park,11,8,Boston,Usa,10
Park St at Norwell St,8,7,Boston,Usa,10
Whittier St Health Center,12,7,Boston,Usa,10
Murphy Skating Rink - 1880 Day Blvd,16,2,Boston,Usa,10
Constitution Rd at Chelsea St,1,18,Boston,Usa,10
Steve Miller Dr at Winthrop St (Medford High),4,7,Boston,Usa,10
The Overlook at St. Gabriel's,8,10,Boston,Usa,10
Discovery Park - 30 Acorn Park Drive,13,10,Boston,Usa,10
Ink Block - Harrison Ave at Herald St,3,24,Boston,Usa,10
Silber Way,11,7,Boston,Usa,10
MIT Pacific St at Purrington St,15,4,Boston,Usa,10
Northeastern University - North Parking Lot,15,0,Boston,Usa,10
Cambridgeside Pl at Land Blvd,3,11,Boston,Usa,10
Surface Rd at India St,16,3,Boston,Usa,10
Thorndike Field at Minuteman Bikeway,4,6,Boston,Usa,10
359 Broadway - Broadway at Fayette Street,16,7,Boston,Usa,10
Ryan Playground - Dorchester Ave at Harbor View St,10,4,Boston,Usa,10
Chelsea St at Medford St,1,18,Boston,Usa,10
Burlington Ave at Brookline Ave,1,13,Boston,Usa,10
Western Ave at Everett St,10,7,Boston,Usa,10
Commonwealth Ave at Granby St,15,1,Boston,Usa,10
Farragut Rd at E. 6th St,3,20,Boston,Usa,10
Mugar Way at Beacon St,3,14,Boston,Usa,10
W Broadway at Dorchester St,5,12,Boston,Usa,10
Kenmore Square - 660 Beacon St,2,10,Boston,Usa,10
Shawmut T Stop,11,9,Boston,Usa,10
Western Ave at Leo Birmingham Pkwy,7,9,Boston,Usa,10
Charles Circle - Charles St at Cambridge St,9,10,Boston,Usa,10
Blue Hill Ave at Havelock St,18,0,Boston,Usa,10
Stuart St at Charles St,2,16,Boston,Usa,10
Marion St at Harvard St,14,1,Boston,Usa,10
Brookline Town Hall,14,1,Boston,Usa,10
Harvard St and Stedman St,14,1,Boston,Usa,10
Commonwealth Ave at Blandford Mall,12,8,Boston,Usa,10
Main St at Thompson Sq,4,11,Boston,Usa,10
Washington St at Bowdoin St,10,5,Boston,Usa,10
Boylston St at Dartmouth St,15,3,Boston,Usa,10
Northern Strand at Main St,3,8,Boston,Usa,10
Auburn St. at Mystic River,5,6,Boston,Usa,10
Post Office Square,1,18,Boston,Usa,10
Cambridge Dept. of Public Works -147 Hampshire St.,12,6,Boston,Usa,10
Union Square - Brighton Ave at Cambridge St,18,1,Boston,Usa,10
Elevate at One Leighton,9,8,Boston,Usa,10
Gove St at Orleans St,3,16,Boston,Usa,10
Main St at Austin St,10,0,Boston,Usa,10
Sydney St at Carson St,19,0,Boston,Usa,10
Lewis Mall Wharf,16,5,Boston,Usa,10
Mayor Salvo Path at Mill St,5,6,Boston,Usa,10
Huron Ave At Vassal Lane,17,1,Boston,Usa,10
Sidney Research Campus/Erie Street at Waverly,17,0,Boston,Usa,10
West Newton,10,5,Boston,Usa,10
University Park,0,19,Boston,Usa,10
Piers Park,10,5,Boston,Usa,10
Blue Hill Ave at Almont St,13,6,Boston,Usa,10
Alewife Station at Russell Field,21,1,Boston,Usa,10
75 Binney St,4,15,Boston,Usa,10
Moore Youth Center,15,0,Boston,Usa,10
Cambridge St at Joy St,9,5,Boston,Usa,10
Encore,4,11,Boston,Usa,10
Alewife MBTA at Steel Place,8,11,Boston,Usa,10
Commercial St at Charter St,14,5,Boston,Usa,10
Jackson Square T Stop,18,0,Boston,Usa,10
Nashua Street at Red Auerbach Way,24,13,Boston,Usa,10
Boylston St at Massachusetts Ave,3,11,Boston,Usa,10
Porter Square Station,11,8,Boston,Usa,10
Talbot Ave At Blue Hill Ave,5,8,Boston,Usa,10
Watermark Seaport - Boston Wharf Rd at Seaport Blvd,2,13,Boston,Usa,10
Harvard St at Greene-Rose Heritage Park,7,10,Boston,Usa,10
Staniford St at Merrimac St,3,21,Boston,Usa,10
Washington St at Melnea Cass Blvd,12,7,Boston,Usa,10
Lafayette Square at Mass Ave / Main St / Columbia St,0,13,Boston,Usa,10
Fields Corner T Stop,15,0,Boston,Usa,10
Magoun Square at Trum Field,15,4,Boston,Usa,10
Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,22,4,Boston,Usa,10
Nubian Square - Bolling Building,11,7,Boston,Usa,10
Addison St at Saratoga St,4,15,Boston,Usa,10
Rowes Wharf at Atlantic Ave,2,12,Boston,Usa,10
Vinnin Square,5,6,Boston,Usa,10
2 Hummingbird Lane at Olmsted Green,13,3,Boston,Usa,10
Boynton Yards at 101 South Street,11,8,Boston,Usa,10
Chinatown Gate Plaza,0,19,Boston,Usa,10
Codman Square Library,6,11,Boston,Usa,10
Rutherford Ave at Bunker Hill Industrial Park,12,8,Boston,Usa,10
Mass Ave T Station,7,8,Boston,Usa,10
Mass Ave at Hadley/Walden,14,5,Boston,Usa,10
O'Brien Highway at First Street,14,5,Boston,Usa,10
699 Mt Auburn St,15,9,Boston,Usa,10
Main Street/Albany Street/Technology Square,2,21,Boston,Usa,10
Washington Sq,13,2,Boston,Usa,10
Talbot Ave T Station,8,11,Boston,Usa,10
Broadway at Lynde St,2,12,Boston,Usa,10
Huntington Ave at Mass Art,13,2,Boston,Usa,10
Commonwealth Ave at Griggs St,15,0,Boston,Usa,10
One Memorial Drive,0,19,Boston,Usa,10
Lafayette at Leach St,3,8,Boston,Usa,10
East Somerville Library (Broadway and Illinois),8,7,Boston,Usa,10
Butler T Stop,7,8,Boston,Usa,10
Lesley University,8,7,Boston,Usa,10
Watertown Sq,10,5,Boston,Usa,10
Surface Rd at Summer St,3,24,Boston,Usa,10
Galileo Galilei Way at Fulkerson St/Binney St,2,17,Boston,Usa,10
Salem MBTA - Washington at Federal St,2,11,Boston,Usa,10
Dana Park,19,0,Boston,Usa,10
Boylston St at Fairfield St,11,5,Boston,Usa,10
Truman Parkway at Fairmount Ave,10,9,Boston,Usa,10
Salem MBTA - Lower Level,4,6,Boston,Usa,10
