name,free_bikes,empty_slots,city,country,position
Calumet Ave & 21st St,4,8,Chicago,Usa,12
Greenwood Ave & 47th St,3,12,Chicago,Usa,12
Public Rack - Eli Whitney Public School,0,1,Chicago,Usa,12
Loomis St & 89th St,7,8,Chicago,Usa,12
Walsh Park,9,14,Chicago,Usa,12
Public Rack - Central Ave & Congress Pkwy,0,2,Chicago,Usa,12
Calumet Ave & 33rd St,1,8,Chicago,Usa,12
Public Rack - Fullerton Ave & Narragansett Ave,0,1,Chicago,Usa,12
Cottage Grove Ave & 71st St,4,7,Chicago,Usa,12
Public Rack - Central Park Ave & Fillmore St,0,1,Chicago,Usa,12
Major Taylor Trail & 115th St,13,1,Chicago,Usa,12
Wacker Dr & Washington St Corral,16,26,Chicago,Usa,12
Nordica Ave & Medill Ave,8,7,Chicago,Usa,12
Artesian Ave & 55th St,9,6,Chicago,Usa,12
Eckhart Park,0,18,Chicago,Usa,12
Milwaukee Ave & Cuyler Ave,6,4,Chicago,Usa,12
Indiana Ave & 40th St,3,4,Chicago,Usa,12
Public Rack - Bishop St & 46th St,0,1,Chicago,Usa,12
Public Rack - Back of the Yards Park,0,1,Chicago,Usa,12
Public Rack - Kolin Ave & Archer Ave,0,2,Chicago,Usa,12
Manor Ave & Leland Ave,2,9,Chicago,Usa,12
Public Rack - Hoyne Ave & 51st St,0,2,Chicago,Usa,12
Rhodes Ave & 32nd St,1,8,Chicago,Usa,12
Public Rack - Baltimore Ave & 132nd St,0,1,Chicago,Usa,12
Pulaski Rd & Ann Lurie Pl,6,5,Chicago,Usa,12
Public Rack - St Louis Ave & Flournoy St,0,1,Chicago,Usa,12
Public Rack - Menard Ave & Dakin St - midblock,2,0,Chicago,Usa,12
Panama Ave & Grace St,4,6,Chicago,Usa,12
Public Rack - Western Ave & 116th St,0,1,Chicago,Usa,12
Public Rack - Cicero Ave & Altgeld St,1,1,Chicago,Usa,12
Public Rack - 111th St - Morgan Park Metra,1,1,Chicago,Usa,12
Public Rack - Kingston Ave & 75th St,0,1,Chicago,Usa,12
Public Rack - Albany Ave & 63rd St,0,0,Chicago,Usa,12
Central Ave & Harrison St,5,6,Chicago,Usa,12
Public Rack - Morgan St & 103rd St,0,2,Chicago,Usa,12
Public Rack - Drexel Ave & 87th St,0,1,Chicago,Usa,12
Elizabeth St & Fulton St,12,1,Chicago,Usa,12
Public Rack - King Dr & 71st St,1,1,Chicago,Usa,12
Public Rack - Springfield & 79th,0,2,Chicago,Usa,12
Clark St & Schreiber Ave,6,6,Chicago,Usa,12
