name,free_bikes,empty_slots,city,country,position
Chester Ave & 12 Ave,20,0,New York,Usa,7
W 56 St & 8 Ave,5,39,New York,Usa,7
S Portland Ave & Hanson Pl,10,16,New York,Usa,7
E 78 St & 2 Ave,11,11,New York,Usa,7
87 St & Roosevelt Ave,4,19,New York,Usa,7
E 157 St & River Ave,17,0,New York,Usa,7
E 17 St & Broadway,50,26,New York,Usa,7
Central Ave & Flushing Ave,12,7,New York,Usa,7
E 149 St & Eagle Ave,7,10,New York,Usa,7
E 165 St & Jerome Ave,18,2,New York,Usa,7
72 St & 31 Ave,18,3,New York,Usa,7
Irwin Ave & W 232 St,17,0,New York,Usa,7
Nassau Ave & Russell St,6,43,New York,Usa,7
1 St & 6 Ave,8,25,New York,Usa,7
Bulova Ave & Brooklyn Queens Expressway W,9,8,New York,Usa,7
45 St & 4 Ave,12,12,New York,Usa,7
Watts St & Greenwich St,20,12,New York,Usa,7
Broadway & E 14 St,83,25,New York,Usa,7
Harrison Pl & Porter Ave,17,2,New York,Usa,7
W 87 St & West End Ave,1,45,New York,Usa,7
3 Ave & E 109 St,21,4,New York,Usa,7
Myrtle Ave & St Edwards St,18,36,New York,Usa,7
E 9 St & Ave C,9,38,New York,Usa,7
Marcy Ave & Gates Ave,8,12,New York,Usa,7
Beverley Rd & Flatbush Ave,26,4,New York,Usa,7
Bergen St & Vanderbilt Ave,12,11,New York,Usa,7
E 149 St & Park Ave,7,18,New York,Usa,7
Sheridan Ave & E 168 St,1,20,New York,Usa,7
Dyckman St & Henshaw St,17,1,New York,Usa,7
Hudson St & Reade St,30,23,New York,Usa,7
E 106 St & 1 Ave,23,3,New York,Usa,7
E 1 St & Bowery,39,0,New York,Usa,7
DeKalb Ave & Franklin Ave,5,12,New York,Usa,7
Melrose Ave & E 150 St,12,15,New York,Usa,7
Botanical Sq & Webster Ave,27,2,New York,Usa,7
E 23 St & 1 Ave,15,8,New York,Usa,7
Buchanan Pl & Grand Ave,0,18,New York,Usa,7
Flatbush Ave & Ocean Ave,21,16,New York,Usa,7
Halsey St & Evergreen Ave,8,12,New York,Usa,7
Southern Blvd & E 174 St,2,24,New York,Usa,7
Park Pl & Church St,41,11,New York,Usa,7
Kent Ave & N 7 St,28,24,New York,Usa,7
E 188 St & Creston Ave,3,27,New York,Usa,7
63 St & 59 Dr,14,8,New York,Usa,7
Decatur Ave & E 197 St,13,5,New York,Usa,7
E 94 St & Madison Ave,33,10,New York,Usa,7
55 Ave & 90 St,20,1,New York,Usa,7
Vernon Blvd & 41 Rd,23,4,New York,Usa,7
South St & Whitehall St,48,4,New York,Usa,7
21 St & Queens Plaza North,19,14,New York,Usa,7
Bronx Park S & Bryant Ave,16,3,New York,Usa,7
E 34 St & Linden Blvd,15,8,New York,Usa,7
Liberty St & Broadway,50,16,New York,Usa,7
Frost St & Debevoise Ave,10,12,New York,Usa,7
3 Ave & Schermerhorn St,10,23,New York,Usa,7
Franklin Ave & St Marks Ave,2,23,New York,Usa,7
W 170 St & University Ave,10,11,New York,Usa,7
Menahan St & Wyckoff Ave,3,17,New York,Usa,7
E 114 St & 1 Ave,15,10,New York,Usa,7
Bergen St & 4 Ave,6,24,New York,Usa,7
Ave D & E 3 St,11,37,New York,Usa,7
Edgecombe Ave & W 167 St,8,14,New York,Usa,7
