name,free_bikes,empty_slots,city,country,position
17th St & Independence Ave SW,9,9,Washington,Usa,3
Commerce St & Fayette St,6,9,Washington,Usa,3
7th & Monroe St NE,6,10,Washington,Usa,3
Columbia Pike & S Orme St,2,6,Washington,Usa,3
Park Rd & Holmead Pl NW,17,17,Washington,Usa,3
N Pitt St & Montgomery St,3,12,Washington,Usa,3
11th & F St NW,18,10,Washington,Usa,3
Western Ave & Pinehurst Cir NW ,10,4,Washington,Usa,3
Rockville Pike & Rose Ave,4,11,Washington,Usa,3
10th & Quincy St NE / Turkey Thicket Rec,11,8,Washington,Usa,3
4th & M St SE,15,4,Washington,Usa,3
S Wayne St and 9th St S,10,5,Washington,Usa,3
New Hampshire Ave & East-West Hwy,5,8,Washington,Usa,3
Charles Arrington Dr & Manchester Lakes Dr ,2,10,Washington,Usa,3
White Oak Transit Center,5,12,Washington,Usa,3
Ridge Rd Community Center,4,15,Washington,Usa,3
Langston Blvd & N Scott St,5,8,Washington,Usa,3
Maple & Ritchie Ave,10,9,Washington,Usa,3
Blueridge Ave & Elkin St,3,12,Washington,Usa,3
MLK & Marion Barry Ave SE,2,9,Washington,Usa,3
Long Bridge Aquatic Center,11,1,Washington,Usa,3
Tenleytown / Wisconsin Ave & Albemarle St NW,1,14,Washington,Usa,3
Minnesota Ave & R St SE,8,11,Washington,Usa,3
Rhodes St & 16th St N,6,6,Washington,Usa,3
Maryland Ave & E St NE,14,12,Washington,Usa,3
Eastern Market / 7th & North Carolina Ave SE,10,4,Washington,Usa,3
Spring St & 2nd Ave,1,14,Washington,Usa,3
12th St & Pennsylvania Ave SE,3,14,Washington,Usa,3
Huntington Ave & Farrington Ave ,1,10,Washington,Usa,3
Prince George's Plaza Metro,3,14,Washington,Usa,3
Fairfax Dr & N Taylor St,4,7,Washington,Usa,3
Medical Center Metro ,4,15,Washington,Usa,3
Library St & Freedom Dr,6,9,Washington,Usa,3
4th & Florida Ave NE,7,10,Washington,Usa,3
5th & Kennedy St NW,10,4,Washington,Usa,3
9th & G St NW,8,7,Washington,Usa,3
North Shore & Cameron Crescent Dr/Crescent Apartments,8,3,Washington,Usa,3
Anacostia Park,5,13,Washington,Usa,3
Kenmore Ave & Seminary Rd,6,5,Washington,Usa,3
15th St & N Scott St,4,11,Washington,Usa,3
Independence Ave & L'Enfant Plaza SW/DOE,15,7,Washington,Usa,3
Chillum Rd & Riggs Rd / Riggs Plaza,6,8,Washington,Usa,3
King St & Peyton St,2,14,Washington,Usa,3
Twinbrook Metro,13,1,Washington,Usa,3
New Hampshire & Lockwood,1,18,Washington,Usa,3
Rosedale Rec Center,12,3,Washington,Usa,3
National Airport,19,0,Washington,Usa,3
Temporary Rd & Old Reston Ave,6,4,Washington,Usa,3
River Rd & Landy Ln,6,12,Washington,Usa,3
Franklin St & S Washington St,12,7,Washington,Usa,3
Bladensburg Waterfront Park,3,9,Washington,Usa,3
39th & Veazey St NW,3,12,Washington,Usa,3
22nd & P ST NW,13,5,Washington,Usa,3
3rd & H St NE,9,10,Washington,Usa,3
Washington Blvd & 10th St N,10,5,Washington,Usa,3
D St & Maryland Ave NE,24,0,Washington,Usa,3
29th & M St NW,18,2,Washington,Usa,3
Ballston Metro / Stuart St & 9th St N,6,17,Washington,Usa,3
Columbia & Ontario Rd NW,1,22,Washington,Usa,3
Tyco Rd & Boyd Pointe Way,0,12,Washington,Usa,3
Wakefield High School,1,11,Washington,Usa,3
5th St & Massachusetts Ave NW,14,5,Washington,Usa,3
Riggs Rd & East West Hwy,4,13,Washington,Usa,3
4th & D St NW / Judiciary Square,6,9,Washington,Usa,3
16th St & North Carolina Ave NE,8,11,Washington,Usa,3
Oglethorpe St & 42nd Ave,8,7,Washington,Usa,3
Congress Heights Metro,2,13,Washington,Usa,3
Ballenger Ave & Dulaney St,0,18,Washington,Usa,3
11th & O St NW,4,18,Washington,Usa,3
14th & Otis Pl NW,17,8,Washington,Usa,3
17th & K St NW / Farragut Square,23,14,Washington,Usa,3
Pentagon Row Plaza / Army Navy Dr & Joyce St,9,7,Washington,Usa,3
6th St & Indiana Ave NW,6,14,Washington,Usa,3
Virginia Hospital Center,4,11,Washington,Usa,3
24th & N St NW,14,0,Washington,Usa,3
King St & N Pitt St,2,9,Washington,Usa,3
Fenton St & Ellsworth Dr ,1,14,Washington,Usa,3
East West Hwy & Blair Mill Rd,9,6,Washington,Usa,3
2nd & G St NE,20,3,Washington,Usa,3
14th & Irving St NW,16,13,Washington,Usa,3
8th & East Capitol St NE,9,2,Washington,Usa,3
King St Metro North / Cameron St,5,9,Washington,Usa,3
Alabama & MLK Ave SE,3,7,Washington,Usa,3
Mississippi Ave & 19th St SE / THEARC,8,11,Washington,Usa,3
Clark St & 26th St S,10,2,Washington,Usa,3
Georgia Ave & Dahlia St NW,17,2,Washington,Usa,3
Fairfax Blvd & Pickett Rd South,3,9,Washington,Usa,3
New Jersey Ave & F St NW,9,24,Washington,Usa,3
Silver Spring Transit Center - Top Level,3,12,Washington,Usa,3
Duke St & Strand (Robinson Terminal),1,10,Washington,Usa,3
St Asaph & Pendleton St,8,7,Washington,Usa,3
MBT & Bryant St NE,3,15,Washington,Usa,3
Anacostia Metro,6,12,Washington,Usa,3
13th & H St NE,26,4,Washington,Usa,3
Convention Center / 7th & M St NW,15,9,Washington,Usa,3
Huntington Ave & Old Richmond Hwy ,0,10,Washington,Usa,3
20th & N St NW ,10,10,Washington,Usa,3
Rockville Metro West,4,15,Washington,Usa,3
4th & M St SW,16,11,Washington,Usa,3
Prosperity Ave & Avenir Pl,0,11,Washington,Usa,3
22nd & I St NW / Foggy Bottom,14,18,Washington,Usa,3
Joyce St & 16th St S,2,14,Washington,Usa,3
Connecticut & Nebraska Ave NW,3,19,Washington,Usa,3
Joliet St & MLK Ave SW/Bald Eagle Rec Ctr,10,4,Washington,Usa,3
Potomac Ave & Main Line Blvd,10,8,Washington,Usa,3
13th St & New York Ave NW,3,23,Washington,Usa,3
Columbia Pike & S Walter Reed Dr,2,6,Washington,Usa,3
3000 Connecticut Ave NW / National Zoo,6,9,Washington,Usa,3
Ridge Rd & Southern Ave SE,6,9,Washington,Usa,3
Arlington National Cemetery,9,10,Washington,Usa,3
Arlington Blvd & S George Mason Dr,2,10,Washington,Usa,3
Calvert St & Woodley Pl NW,3,15,Washington,Usa,3
Anacostia Ave & East Capitol St NE,5,14,Washington,Usa,3
12th St & New York Ave NW,5,21,Washington,Usa,3
Clarendon Blvd & N Fillmore St,11,4,Washington,Usa,3
33rd St & Wisconsin Ave NW,18,0,Washington,Usa,3
14th & R St NW,1,18,Washington,Usa,3
4th & East Capitol St NE,6,5,Washington,Usa,3
Takoma Metro,16,3,Washington,Usa,3
Veterans Pl & Pershing Dr ,6,5,Washington,Usa,3
Southern Ave Metro,4,11,Washington,Usa,3
Columbia Pike & W&OD Trail ,3,14,Washington,Usa,3
11th & Park Rd NW,5,13,Washington,Usa,3
S Maple Ave & S Washington St,6,6,Washington,Usa,3
North Capitol & Douglas St NW / Reservoir Park Rec ,13,5,Washington,Usa,3
Washington-Liberty High School / N Stafford St & Generals Way,8,7,Washington,Usa,3
Maine Ave & Water St SW,15,4,Washington,Usa,3
14th & Upshur St NW,10,9,Washington,Usa,3
Radford & Osage St,4,7,Washington,Usa,3
Largo Rd & Campus Way / Prince Georges's Comm Col,9,6,Washington,Usa,3
Powhatan St & Bashford Ln,3,12,Washington,Usa,3
23rd & E St NW ,3,16,Washington,Usa,3
Olde Crafts Dr and Cartwright Pl,7,5,Washington,Usa,3
Wilson Blvd & N Oak St,8,9,Washington,Usa,3
S Wakefield St & 28th St S,8,7,Washington,Usa,3
Washington Blvd & Walter Reed Dr ,0,12,Washington,Usa,3
Benning Rd & East Capitol St NE / Benning Rd Metro,0,19,Washington,Usa,3
E Fairfax St & S Washington St,12,0,Washington,Usa,3
5th & K St NW,16,7,Washington,Usa,3
John McCormack Rd & Michigan Ave NE,9,2,Washington,Usa,3
N Hampton Dr & Ford Ave,5,5,Washington,Usa,3
Wilson Blvd & N Illinois St ,7,8,Washington,Usa,3
USDA / 12th & C St SW,34,13,Washington,Usa,3
18th & New Hampshire Ave NW,12,7,Washington,Usa,3
Roosevelt Island,1,15,Washington,Usa,3
Washington & Independence Ave SW/HHS,10,20,Washington,Usa,3
